Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AIModel.ApprovalStatus,ApprovalStatus,AIModel,,ApprovalStatus,Approval Status,Approval Status,選択リスト,false,true,false,true,true,true
000000000000000AAA,AIModel.ContentVersion,ContentVersion,AIModel,,ContentVersion,Content Version,Content Version,テキスト(80),false,true,false,true,true,true
000000000000000AAA,AIModel.CreatedBy,CreatedById,AIModel,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIModel.CreatedDate,CreatedDate,AIModel,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIModel.Dataset,Dataset,AIModel,,Dataset,Dataset Id,Dataset Id,テキスト(80),false,true,false,true,true,true
000000000000000AAA,AIModel.DeveloperName,DeveloperName,AIModel,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,AIModel.ExternalId,ExternalId,AIModel,,ExternalId,External Id,External Id,外部参照,false,false,false,true,true,true
000000000000000AAA,AIModel.FailureReasonCode,FailureReasonCode,AIModel,,FailureReasonCode,Failure Reason Code,Failure Reason Code,テキスト(80),false,true,false,true,true,true
000000000000000AAA,AIModel.FullName,FullName,AIModel,,FullName,Model Name,Model Name,テキスト(128),false,true,false,false,true,false
000000000000000AAA,AIModel.Id,Id,AIModel,,Id,AI Model ID,AI Model ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AIModel.IsDeleted,IsDeleted,AIModel,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AIModel.Language,Language,AIModel,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,AIModel.LastModifiedBy,LastModifiedById,AIModel,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIModel.LastModifiedDate,LastModifiedDate,AIModel,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIModel.MasterLabel,MasterLabel,AIModel,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AIModel.Metadata,Metadata,AIModel,,Metadata,Metadata,Metadata,複合値,false,true,false,false,false,false
000000000000000AAA,AIModel.ModelContent,ModelContent,AIModel,,ModelContent,Model Content,Model Content,テキストエリア,false,true,false,false,false,false
000000000000000AAA,AIModel.ModelContentLength,ModelContentLength,AIModel,,ModelContentLength,Model Content Length,Model Content Length,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AIModel.ModelDefinition,ModelDefinitionId,AIModel,,ModelDefinition,AI モデル定義,AI モデル定義,参照関係(AI モデル定義),false,true,true,true,true,true
000000000000000AAA,AIModel.Priority,Priority,AIModel,,Priority,Priority,Priority,数値(9、0),false,true,false,true,true,true
000000000000000AAA,AIModel.ScoringStatus,ScoringStatus,AIModel,,ScoringStatus,Scoring Status,Scoring Status,選択リスト,false,false,false,true,true,true
000000000000000AAA,AIModel.SystemModstamp,SystemModstamp,AIModel,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AIModel.TrainingEndTime,TrainingEndTime,AIModel,,TrainingEndTime,Training End Time,Training End Time,日付/時間,false,true,false,true,false,true
000000000000000AAA,AIModel.TrainingStartTime,TrainingStartTime,AIModel,,TrainingStartTime,Training Start Time,Training Start Time,日付/時間,false,true,false,true,false,true
000000000000000AAA,AIModel.Type,Type,AIModel,,Type,Type,Type,選択リスト,false,true,false,true,true,true
