Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AIWorksheetTemplateColumn.ColumnName,ColumnName,AIWorksheetTemplateColumn,,ColumnName,Column Name,Column Name,テキスト(255),false,false,false,true,true,true
000000000000000AAA,AIWorksheetTemplateColumn.Config,Config,AIWorksheetTemplateColumn,,Config,Config,Config,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,AIWorksheetTemplateColumn.CreatedBy,CreatedById,AIWorksheetTemplateColumn,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIWorksheetTemplateColumn.CreatedDate,CreatedDate,AIWorksheetTemplateColumn,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIWorksheetTemplateColumn.Id,Id,AIWorksheetTemplateColumn,,Id,AI Worksheet Template Column ID,AI Worksheet Template Column ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AIWorksheetTemplateColumn.IsDeleted,IsDeleted,AIWorksheetTemplateColumn,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AIWorksheetTemplateColumn.LastModifiedBy,LastModifiedById,AIWorksheetTemplateColumn,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AIWorksheetTemplateColumn.LastModifiedDate,LastModifiedDate,AIWorksheetTemplateColumn,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AIWorksheetTemplateColumn.PrecedingColumn,PrecedingColumnId,AIWorksheetTemplateColumn,,PrecedingColumn,PrecedingColumn,PrecedingColumn,参照関係(AI Worksheet Template Column),false,true,false,true,true,true
000000000000000AAA,AIWorksheetTemplateColumn.SystemModstamp,SystemModstamp,AIWorksheetTemplateColumn,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AIWorksheetTemplateColumn.Template,TemplateId,AIWorksheetTemplateColumn,,Template,Template,Template,主従関係(AI Worksheet Template),false,false,true,true,true,true
000000000000000AAA,AIWorksheetTemplateColumn.Type,Type,AIWorksheetTemplateColumn,,Type,Type,Type,選択リスト,false,true,false,true,true,true
