Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AccountSettings.ExternalId,DurableId,AccountSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,AccountSettings.FullName,FullName,AccountSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,AccountSettings.Id,Id,AccountSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,AccountSettings.IsAccountDiscoveryEnabled,IsAccountDiscoveryEnabled,AccountSettings,,IsAccountDiscoveryEnabled,__MISSING LABEL__ PropertyFile - val IsAccountDiscoveryEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAccountDiscoveryEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AccountSettings.IsAccountHistoryTrackingEnabled,IsAccountHistoryTrackingEnabled,AccountSettings,,IsAccountHistoryTrackingEnabled,__MISSING LABEL__ PropertyFile - val IsAccountHistoryTrackingEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAccountHistoryTrackingEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AccountSettings.IsAccountInsightsInMobileEnabled,IsAccountInsightsInMobileEnabled,AccountSettings,,IsAccountInsightsInMobileEnabled,__MISSING LABEL__ PropertyFile - val IsAccountInsightsInMobileEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAccountInsightsInMobileEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AccountSettings.IsAccountOwnerReportEnabled,IsAccountOwnerReportEnabled,AccountSettings,,IsAccountOwnerReportEnabled,__MISSING LABEL__ PropertyFile - val IsAccountOwnerReportEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAccountOwnerReportEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AccountSettings.IsAccountTeamsEnabled,IsAccountTeamsEnabled,AccountSettings,,IsAccountTeamsEnabled,__MISSING LABEL__ PropertyFile - val IsAccountTeamsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAccountTeamsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AccountSettings.IsContactHistoryTrackingEnabled,IsContactHistoryTrackingEnabled,AccountSettings,,IsContactHistoryTrackingEnabled,__MISSING LABEL__ PropertyFile - val IsContactHistoryTrackingEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsContactHistoryTrackingEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AccountSettings.IsRelateContactToMultipleAccountsEnabled,IsRelateContactToMultipleAccountsEnabled,AccountSettings,,IsRelateContactToMultipleAccountsEnabled,__MISSING LABEL__ PropertyFile - val IsRelateContactToMultipleAccountsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsRelateContactToMultipleAccountsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AccountSettings.IsReportsToOnPersonAccountEnabled,IsReportsToOnPersonAccountEnabled,AccountSettings,,IsReportsToOnPersonAccountEnabled,__MISSING LABEL__ PropertyFile - val IsReportsToOnPersonAccountEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsReportsToOnPersonAccountEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AccountSettings.Metadata,Metadata,AccountSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,AccountSettings.ShowViewHierarchyLink,ShowViewHierarchyLink,AccountSettings,,ShowViewHierarchyLink,__MISSING LABEL__ PropertyFile - val ShowViewHierarchyLink not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val ShowViewHierarchyLink not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
