Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ActionFieldUpdate.AllManagedPackageMember,AllManagedPackageMemberId,ActionFieldUpdate,,AllManagedPackageMember,AMPM エントリ,AMPM エントリ,参照関係(すべての管理パッケージメンバー),false,true,true,true,true,true
000000000000000AAA,ActionFieldUpdate.CalculatedFormula,CalculatedFormula,ActionFieldUpdate,,CalculatedFormula,数式,数式,テキスト(4000),false,true,false,true,false,true
000000000000000AAA,ActionFieldUpdate.CreatedBy,CreatedById,ActionFieldUpdate,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.CreatedDate,CreatedDate,ActionFieldUpdate,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActionFieldUpdate.Description,Description,ActionFieldUpdate,,Description,説明,説明,テキストエリア(255),false,true,false,true,true,true
000000000000000AAA,ActionFieldUpdate.DeveloperName,DeveloperName,ActionFieldUpdate,,DeveloperName,一意の名前,一意の名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.EntityDefinition,EntityDefinitionId,ActionFieldUpdate,,EntityDefinition,エンティティ定義,エンティティ定義,外部参照(エンティティ定義),false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.FieldDefinition,FieldDefinitionId,ActionFieldUpdate,,FieldDefinition,項目定義,項目定義,外部参照(項目定義),false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.FullName,FullName,ActionFieldUpdate,,FullName,メタデータ API の完全名,メタデータ API の完全名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ActionFieldUpdate.Id,Id,ActionFieldUpdate,,Id,項目自動更新 ID,項目自動更新 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ActionFieldUpdate.IsDeleted,IsDeleted,ActionFieldUpdate,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.IsProtected,IsProtected,ActionFieldUpdate,,IsProtected,保護コンポーネント,保護コンポーネント,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.LastModifiedBy,LastModifiedById,ActionFieldUpdate,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.LastModifiedDate,LastModifiedDate,ActionFieldUpdate,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActionFieldUpdate.LiteralValue,LiteralValue,ActionFieldUpdate,,LiteralValue,値,値,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ActionFieldUpdate.LookupValue,LookupValueId,ActionFieldUpdate,,LookupValue,ルックアップ,ルックアップ,"参照関係(ユーザー,レコードタイプ,グループ)",false,true,true,true,true,true
000000000000000AAA,ActionFieldUpdate.ManageableState,ManageableState,ActionFieldUpdate,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ActionFieldUpdate.Metadata,Metadata,ActionFieldUpdate,,Metadata,ワークフロー項目自動更新のメタデータ,ワークフロー項目自動更新のメタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,ActionFieldUpdate.ModuleNamespace,ModuleNamespace,ActionFieldUpdate,,ModuleNamespace,モジュール名前空間,モジュール名前空間,テキスト(40),false,true,false,true,true,true
000000000000000AAA,ActionFieldUpdate.Name,Name,ActionFieldUpdate,,Name,名前,名前,テキスト(40),false,false,true,true,true,true
000000000000000AAA,ActionFieldUpdate.NameNorm,NameNorm,ActionFieldUpdate,,NameNorm,名前の標準化,名前の標準化,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.NamespacePrefix,NamespacePrefix,ActionFieldUpdate,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ActionFieldUpdate.NotifyAssignee,NotifyAssignee,ActionFieldUpdate,,NotifyAssignee,割り当て先へ通知,割り当て先へ通知,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.Operation,Operation,ActionFieldUpdate,,Operation,操作,操作,選択リスト,false,false,false,true,true,true
000000000000000AAA,ActionFieldUpdate.Options,Options,ActionFieldUpdate,,Options,__MISSING LABEL__ PropertyFile - val Options not found in section udd_ActionFieldUpdate,__MISSING LABEL__ PropertyFile - val Options not found in section udd_ActionFieldUpdate,ビットベクター,false,false,false,true,false,false
000000000000000AAA,ActionFieldUpdate.SourceColumnEnumOrId,SourceColumnEnumOrId,ActionFieldUpdate,,SourceColumnEnumOrId,カスタム項目の定義,カスタム項目の定義,選択リスト(カスタム項目の定義),false,true,false,true,true,true
000000000000000AAA,ActionFieldUpdate.SourceTableEnumOrId,SourceTableEnumOrId,ActionFieldUpdate,,SourceTableEnumOrId,オブジェクト,オブジェクト,選択リスト(カスタムオブジェクトの定義),false,false,true,true,true,true
000000000000000AAA,ActionFieldUpdate.SystemModstamp,SystemModstamp,ActionFieldUpdate,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
