Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ActionOverrideInfo.Action,Action,ActionOverrideInfo,,Action,アクション,アクション,テキスト(240),false,true,false,true,true,true
000000000000000AAA,ActionOverrideInfo.ContentId,ContentId,ActionOverrideInfo,,ContentId,コンテンツ ID,コンテンツ ID,テキスト(16),false,true,false,true,true,true
000000000000000AAA,ActionOverrideInfo.ContentName,ContentName,ActionOverrideInfo,,ContentName,コンテンツ名,コンテンツ名,テキスト(100),false,true,false,true,true,true
000000000000000AAA,ActionOverrideInfo.CreatedDate,CreatedDate,ActionOverrideInfo,,CreatedDate,作成日,作成日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ActionOverrideInfo.CustomApplicationId,CustomApplicationId,ActionOverrideInfo,,CustomApplicationId,CustomApplication ID,CustomApplication ID,テキスト(16),false,true,false,true,true,true
000000000000000AAA,ActionOverrideInfo.ExternalId,DurableId,ActionOverrideInfo,,ExternalId,デュラブル ID,デュラブル ID,外部参照,false,true,false,true,true,true
000000000000000AAA,ActionOverrideInfo.FormFactor,FormFactor,ActionOverrideInfo,,FormFactor,フォーム要素,フォーム要素,選択リスト,false,true,false,true,true,true
000000000000000AAA,ActionOverrideInfo.Id,Id,ActionOverrideInfo,,Id,アクション上書き情報 ID,アクション上書き情報 ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,ActionOverrideInfo.NamespacePrefix,NamespacePrefix,ActionOverrideInfo,,NamespacePrefix,NamespacePrefix,NamespacePrefix,テキスト(15),false,true,false,true,true,true
000000000000000AAA,ActionOverrideInfo.PageOrSobjectType,PageOrSobjectType,ActionOverrideInfo,,PageOrSobjectType,PageOrSobjectType,PageOrSobjectType,テキスト(510),false,true,false,true,false,true
000000000000000AAA,ActionOverrideInfo.Profile,ProfileId,ActionOverrideInfo,,Profile,プロファイル,プロファイル,参照関係(プロファイル),false,true,false,true,true,true
000000000000000AAA,ActionOverrideInfo.RecordType,RecordTypeId,ActionOverrideInfo,,RecordType,レコードタイプ,レコードタイプ,参照関係(レコードタイプ),false,true,false,true,true,true
000000000000000AAA,ActionOverrideInfo.Type,Type,ActionOverrideInfo,,Type,種別,種別,選択リスト,false,true,false,true,true,true
