Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ActivationPlatformActvAttr.ActivationPlatform,ActivationPlatformId,ActivationPlatformActvAttr,,ActivationPlatform,有効化プラットフォーム,有効化プラットフォーム,参照関係(有効化プラットフォーム),false,false,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.ActvPlatformAdncIdentifier,ActvPlatformAdncIdentifierId,ActivationPlatformActvAttr,,ActvPlatformAdncIdentifier,有効化プラットフォーム識別子,有効化プラットフォーム識別子,参照関係(有効化プラットフォーム利用者識別子),false,true,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.ApplyHash,ApplyHash,ActivationPlatformActvAttr,,ApplyHash,有効化プラットフォーム適用ハッシュ,有効化プラットフォーム適用ハッシュ,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.AttributeMappingSchemas,AttributeMappingSchemas,ActivationPlatformActvAttr,,AttributeMappingSchemas,属性の対応付けスキーマ,属性の対応付けスキーマ,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,ActivationPlatformActvAttr.CreatedBy,CreatedById,ActivationPlatformActvAttr,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.CreatedDate,CreatedDate,ActivationPlatformActvAttr,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActivationPlatformActvAttr.DestinationName,DestinationName,ActivationPlatformActvAttr,,DestinationName,属性の対象名,属性の対象名,テキスト(40),false,true,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.DeveloperName,DeveloperName,ActivationPlatformActvAttr,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.FieldName,FieldName,ActivationPlatformActvAttr,,FieldName,項目名,項目名,テキスト(25),false,true,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.FullName,FullName,ActivationPlatformActvAttr,,FullName,有効化プラットフォーム有効化属性の完全名,有効化プラットフォーム有効化属性の完全名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ActivationPlatformActvAttr.Id,Id,ActivationPlatformActvAttr,,Id,有効化プラットフォーム有効化属性 ID,有効化プラットフォーム有効化属性 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.IsDeleted,IsDeleted,ActivationPlatformActvAttr,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.IsFromSourceObject,IsFromSourceObject,ActivationPlatformActvAttr,,IsFromSourceObject,ソースオブジェクトから対応付けられた属性,ソースオブジェクトから対応付けられた属性,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.IsIdentifier,IsIdentifier,ActivationPlatformActvAttr,,IsIdentifier,有効化プラットフォームが識別子,有効化プラットフォームが識別子,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.IsRequired,IsRequired,ActivationPlatformActvAttr,,IsRequired,必須項目,必須項目,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.Language,Language,ActivationPlatformActvAttr,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.LastModifiedBy,LastModifiedById,ActivationPlatformActvAttr,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.LastModifiedDate,LastModifiedDate,ActivationPlatformActvAttr,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActivationPlatformActvAttr.ManageableState,ManageableState,ActivationPlatformActvAttr,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.MasterLabel,MasterLabel,ActivationPlatformActvAttr,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.Metadata,Metadata,ActivationPlatformActvAttr,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,ActivationPlatformActvAttr.NamespacePrefix,NamespacePrefix,ActivationPlatformActvAttr,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.ObjectName,ObjectName,ActivationPlatformActvAttr,,ObjectName,オブジェクト名,オブジェクト名,テキスト(25),false,true,false,true,true,true
000000000000000AAA,ActivationPlatformActvAttr.SystemModstamp,SystemModstamp,ActivationPlatformActvAttr,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
