Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.ActivationTrgtIntOrgAccess,ActivationTrgtIntOrgAccessId,ActivationTrgtIntOrgAccessHistory,,ActivationTrgtIntOrgAccess,有効化対象の内部組織アクセス,有効化対象の内部組織アクセス,参照関係(有効化対象の内部組織アクセス),false,false,true,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.CreatedBy,CreatedById,ActivationTrgtIntOrgAccessHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.CreatedDate,CreatedDate,ActivationTrgtIntOrgAccessHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.DataType,DataType,ActivationTrgtIntOrgAccessHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.Field,Field,ActivationTrgtIntOrgAccessHistory,,Field,変更された項目,変更された項目,"選択リスト(Custom Field Definitions,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.Id,Id,ActivationTrgtIntOrgAccessHistory,,Id,有効化対象の内部組織アクセス履歴 ID,有効化対象の内部組織アクセス履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.IsDeleted,IsDeleted,ActivationTrgtIntOrgAccessHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.NewvalDate,NewvalDate,ActivationTrgtIntOrgAccessHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.NewvalFirstName,NewvalFirstName,ActivationTrgtIntOrgAccessHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.NewvalLastName,NewvalLastName,ActivationTrgtIntOrgAccessHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.NewValue,NewValue,ActivationTrgtIntOrgAccessHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.OldvalDate,OldvalDate,ActivationTrgtIntOrgAccessHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.OldvalFirstName,OldvalFirstName,ActivationTrgtIntOrgAccessHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.OldvalLastName,OldvalLastName,ActivationTrgtIntOrgAccessHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ActivationTrgtIntOrgAccessHistory.OldValue,OldValue,ActivationTrgtIntOrgAccessHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
