Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ActivityFeed.BestComment,BestCommentId,ActivityFeed,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,ActivityFeed.Body,Body,ActivityFeed,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,ActivityFeed.CommentCount,CommentCount,ActivityFeed,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ActivityFeed.CreatedBy,CreatedById,ActivityFeed,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ActivityFeed.CreatedDate,CreatedDate,ActivityFeed,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActivityFeed.Id,Id,ActivityFeed,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ActivityFeed.InsertedBy,InsertedById,ActivityFeed,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,true,false,false,true,true
000000000000000AAA,ActivityFeed.IsDeleted,IsDeleted,ActivityFeed,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActivityFeed.IsRichText,IsRichText,ActivityFeed,,IsRichText,リッチテキスト,リッチテキスト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActivityFeed.LastModifiedDate,LastModifiedDate,ActivityFeed,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActivityFeed.LikeCount,LikeCount,ActivityFeed,,LikeCount,いいね! の数,いいね! の数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ActivityFeed.LinkUrl,LinkUrl,ActivityFeed,,LinkUrl,リンク URL,リンク URL,URL(1000),false,true,false,false,false,true
000000000000000AAA,ActivityFeed.Parent,ParentId,ActivityFeed,,Parent,親,親,参照関係(活動),false,false,true,true,true,true
000000000000000AAA,ActivityFeed.RelatedRecord,RelatedRecordId,ActivityFeed,,RelatedRecord,関連レコード,関連レコード,"参照関係(コンテンツバージョン,キャンバスフィード項目)",false,true,false,false,true,true
000000000000000AAA,ActivityFeed.SystemModstamp,SystemModstamp,ActivityFeed,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ActivityFeed.Title,Title,ActivityFeed,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,true,true
000000000000000AAA,ActivityFeed.Type,Type,ActivityFeed,,Type,フィード項目種別,フィード項目種別,選択リスト,false,true,false,true,true,true
