Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ActivityFieldHistory.Activity,ActivityId,ActivityFieldHistory,,Activity,活動,活動,"参照関係(ToDo,行動)",false,false,false,true,false,true
000000000000000AAA,ActivityFieldHistory.ChangedBy,ChangedById,ActivityFieldHistory,,ChangedBy,Changed By,Changed By,参照関係(ユーザー),false,false,false,true,false,true
000000000000000AAA,ActivityFieldHistory.ChangedDate,ChangedDate,ActivityFieldHistory,,ChangedDate,Changed Date,Changed Date,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActivityFieldHistory.CreatedBy,CreatedById,ActivityFieldHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,false,false,false
000000000000000AAA,ActivityFieldHistory.CreatedDate,CreatedDate,ActivityFieldHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,ActivityFieldHistory.DataType,DataType,ActivityFieldHistory,,DataType,データ型,データ型,選択リスト,false,false,false,false,false,false
000000000000000AAA,ActivityFieldHistory.FieldName,FieldName,ActivityFieldHistory,,FieldName,項目,項目,テキスト(120),false,false,false,true,false,true
000000000000000AAA,ActivityFieldHistory.Id,Id,ActivityFieldHistory,,Id,エンティティの履歴 ID,エンティティの履歴 ID,参照関係(),false,false,false,false,false,false
000000000000000AAA,ActivityFieldHistory.IsDataAvailable,IsDataAvailable,ActivityFieldHistory,,IsDataAvailable,Data Available,Data Available,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ActivityFieldHistory.LastModifiedBy,LastModifiedById,ActivityFieldHistory,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,false,false,false
000000000000000AAA,ActivityFieldHistory.LastModifiedDate,LastModifiedDate,ActivityFieldHistory,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,false,false,false
000000000000000AAA,ActivityFieldHistory.NewValueDateTime,NewValueDateTime,ActivityFieldHistory,,NewValueDateTime,新規の日付,新規の日付,日付/時間,false,true,false,false,false,false
000000000000000AAA,ActivityFieldHistory.NewValueNumber,NewValueNumber,ActivityFieldHistory,,NewValueNumber,新規の数値,新規の数値,数値(18、0),false,true,false,false,false,false
000000000000000AAA,ActivityFieldHistory.NewValueText,NewValueText,ActivityFieldHistory,,NewValueText,新規の文字列値,新規の文字列値,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,ActivityFieldHistory.OldValueDateTime,OldValueDateTime,ActivityFieldHistory,,OldValueDateTime,元の日付,元の日付,日付/時間,false,true,false,false,false,false
000000000000000AAA,ActivityFieldHistory.OldValueNumber,OldValueNumber,ActivityFieldHistory,,OldValueNumber,元の数値,元の数値,数値(18、0),false,true,false,false,false,false
000000000000000AAA,ActivityFieldHistory.OldValueText,OldValueText,ActivityFieldHistory,,OldValueText,元の文字列値,元の文字列値,テキスト(4000),false,true,false,false,false,false
000000000000000AAA,ActivityFieldHistory.Operation,Operation,ActivityFieldHistory,,Operation,Change Operation,Change Operation,選択リスト,false,false,false,false,false,false
000000000000000AAA,ActivityFieldHistory.SystemModstamp,SystemModstamp,ActivityFieldHistory,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,false,false,false,false
