Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ActvPlatformFieldValue.ActivationPlatformField,ActivationPlatformFieldId,ActvPlatformFieldValue,,ActivationPlatformField,有効化プラットフォーム項目,有効化プラットフォーム項目,参照関係(有効化プラットフォーム項目),false,false,false,true,true,true
000000000000000AAA,ActvPlatformFieldValue.CreatedBy,CreatedById,ActvPlatformFieldValue,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ActvPlatformFieldValue.CreatedDate,CreatedDate,ActvPlatformFieldValue,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActvPlatformFieldValue.DeveloperName,DeveloperName,ActvPlatformFieldValue,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ActvPlatformFieldValue.FullName,FullName,ActvPlatformFieldValue,,FullName,有効化プラットフォーム項目値の完全名,有効化プラットフォーム項目値の完全名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ActvPlatformFieldValue.Id,Id,ActvPlatformFieldValue,,Id,有効化プラットフォーム項目値 ID,有効化プラットフォーム項目値 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ActvPlatformFieldValue.IsDefault,IsDefault,ActvPlatformFieldValue,,IsDefault,デフォルト,デフォルト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActvPlatformFieldValue.IsDeleted,IsDeleted,ActvPlatformFieldValue,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ActvPlatformFieldValue.Language,Language,ActvPlatformFieldValue,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,ActvPlatformFieldValue.LastModifiedBy,LastModifiedById,ActvPlatformFieldValue,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ActvPlatformFieldValue.LastModifiedDate,LastModifiedDate,ActvPlatformFieldValue,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ActvPlatformFieldValue.ManageableState,ManageableState,ActvPlatformFieldValue,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ActvPlatformFieldValue.MasterLabel,MasterLabel,ActvPlatformFieldValue,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ActvPlatformFieldValue.Metadata,Metadata,ActvPlatformFieldValue,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,ActvPlatformFieldValue.NamespacePrefix,NamespacePrefix,ActvPlatformFieldValue,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ActvPlatformFieldValue.SystemModstamp,SystemModstamp,ActvPlatformFieldValue,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ActvPlatformFieldValue.Value,Value,ActvPlatformFieldValue,,Value,値,値,テキスト(255),false,true,false,true,true,true
