Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiAgentTagDefAssoc.AiAgentApiName,AiAgentApiName,AiAgentTagDefAssoc,,AiAgentApiName,AI エージェント API 参照名,AI エージェント API 参照名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AiAgentTagDefAssoc.AiTagDefinition,AiTagDefinitionId,AiAgentTagDefAssoc,,AiTagDefinition,AI タグ定義,AI タグ定義,主従関係(AI タグ定義),false,false,true,true,true,true
000000000000000AAA,AiAgentTagDefAssoc.CreatedBy,CreatedById,AiAgentTagDefAssoc,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiAgentTagDefAssoc.CreatedDate,CreatedDate,AiAgentTagDefAssoc,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiAgentTagDefAssoc.Id,Id,AiAgentTagDefAssoc,,Id,AI エージェントタグ定義関連付け ID,AI エージェントタグ定義関連付け ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiAgentTagDefAssoc.InputScope,InputScope,AiAgentTagDefAssoc,,InputScope,Input Scope,Input Scope,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiAgentTagDefAssoc.IsActive,IsActive,AiAgentTagDefAssoc,,IsActive,有効,有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiAgentTagDefAssoc.IsDeleted,IsDeleted,AiAgentTagDefAssoc,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiAgentTagDefAssoc.LastModifiedBy,LastModifiedById,AiAgentTagDefAssoc,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiAgentTagDefAssoc.LastModifiedDate,LastModifiedDate,AiAgentTagDefAssoc,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiAgentTagDefAssoc.ManageableState,ManageableState,AiAgentTagDefAssoc,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiAgentTagDefAssoc.Specification,Specification,AiAgentTagDefAssoc,,Specification,仕様,仕様,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,AiAgentTagDefAssoc.SystemModstamp,SystemModstamp,AiAgentTagDefAssoc,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
