Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiEvalPrmptRagTestCsRslt.AiEvalPromptTestCaseRslt,AiEvalPromptTestCaseRsltId,AiEvalPrmptRagTestCsRslt,,AiEvalPromptTestCaseRslt,AI 評価プロンプトテストケース結果,AI 評価プロンプトテストケース結果,主従関係(AI 評価プロンプトテストケース結果),false,false,true,true,true,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.CreatedBy,CreatedById,AiEvalPrmptRagTestCsRslt,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.CreatedDate,CreatedDate,AiEvalPrmptRagTestCsRslt,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.Id,Id,AiEvalPrmptRagTestCsRslt,,Id,AI 評価プロンプト RAG テストケース結果 ID,AI 評価プロンプト RAG テストケース結果 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.IsDeleted,IsDeleted,AiEvalPrmptRagTestCsRslt,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.LastModifiedBy,LastModifiedById,AiEvalPrmptRagTestCsRslt,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.LastModifiedDate,LastModifiedDate,AiEvalPrmptRagTestCsRslt,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.Name,Name,AiEvalPrmptRagTestCsRslt,,Name,名前,名前,テキスト(255),false,false,true,true,true,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.RagContexts,RagContexts,AiEvalPrmptRagTestCsRslt,,RagContexts,RAG コンテキスト,RAG コンテキスト,ロングテキストエリア(16384),false,true,false,false,false,false
000000000000000AAA,AiEvalPrmptRagTestCsRslt.RagQuery,RagQuery,AiEvalPrmptRagTestCsRslt,,RagQuery,RAG クエリ,RAG クエリ,ロングテキストエリア(16384),false,true,false,false,false,false
000000000000000AAA,AiEvalPrmptRagTestCsRslt.RecordVisibility,RecordVisibilityId,AiEvalPrmptRagTestCsRslt,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.SystemModstamp,SystemModstamp,AiEvalPrmptRagTestCsRslt,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AiEvalPrmptRagTestCsRslt.UserRecordAccess,UserRecordAccessId,AiEvalPrmptRagTestCsRslt,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
