Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiEvalTestCaseCriteria.AiEvalMetricType,AiEvalMetricType,AiEvalTestCaseCriteria,,AiEvalMetricType,AI 評価メトリクス種別,AI 評価メトリクス種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,AiEvalTestCaseCriteria.AiEvalTestCase,AiEvalTestCaseId,AiEvalTestCaseCriteria,,AiEvalTestCase,AI Evaluation Test Cases,AI Evaluation Test Cases,主従関係(AI Evaluation Test Cases),false,false,true,true,true,true
000000000000000AAA,AiEvalTestCaseCriteria.AiEvaluationModel,AiEvaluationModel,AiEvalTestCaseCriteria,,AiEvaluationModel,AI 評価モデル,AI 評価モデル,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiEvalTestCaseCriteria.CreatedBy,CreatedById,AiEvalTestCaseCriteria,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiEvalTestCaseCriteria.CreatedDate,CreatedDate,AiEvalTestCaseCriteria,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiEvalTestCaseCriteria.CriteriaLabel,CriteriaLabel,AiEvalTestCaseCriteria,,CriteriaLabel,条件の表示ラベル,条件の表示ラベル,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AiEvalTestCaseCriteria.Id,Id,AiEvalTestCaseCriteria,,Id,AI Evaluation Test Case Criteria ID,AI Evaluation Test Case Criteria ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiEvalTestCaseCriteria.IsDeleted,IsDeleted,AiEvalTestCaseCriteria,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiEvalTestCaseCriteria.LastModifiedBy,LastModifiedById,AiEvalTestCaseCriteria,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiEvalTestCaseCriteria.LastModifiedDate,LastModifiedDate,AiEvalTestCaseCriteria,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiEvalTestCaseCriteria.SystemModstamp,SystemModstamp,AiEvalTestCaseCriteria,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
