Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiModelMonitoringCapability.CapabilityType,CapabilityType,AiModelMonitoringCapability,,CapabilityType,Capability Type,Capability Type,選択リスト,false,false,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.CreatedBy,CreatedById,AiModelMonitoringCapability,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.CreatedDate,CreatedDate,AiModelMonitoringCapability,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiModelMonitoringCapability.DeveloperName,DeveloperName,AiModelMonitoringCapability,,DeveloperName,オブジェクト名,オブジェクト名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.Id,Id,AiModelMonitoringCapability,,Id,AI Model Monitoring Capabilities ID,AI Model Monitoring Capabilities ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiModelMonitoringCapability.IsDeleted,IsDeleted,AiModelMonitoringCapability,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.IsEnabled,IsEnabled,AiModelMonitoringCapability,,IsEnabled,Is Enabled,Is Enabled,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.Language,Language,AiModelMonitoringCapability,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.LastModifiedBy,LastModifiedById,AiModelMonitoringCapability,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.LastModifiedDate,LastModifiedDate,AiModelMonitoringCapability,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiModelMonitoringCapability.ManageableState,ManageableState,AiModelMonitoringCapability,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.MasterLabel,MasterLabel,AiModelMonitoringCapability,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.NamespacePrefix,NamespacePrefix,AiModelMonitoringCapability,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,AiModelMonitoringCapability.SobjectType,AiModelId,AiModelMonitoringCapability,,SobjectType,ML AI モデル,ML AI モデル,参照関係(ML AI モデル),false,false,true,true,true,true
000000000000000AAA,AiModelMonitoringCapability.SystemModstamp,SystemModstamp,AiModelMonitoringCapability,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
