Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiSkill.ActiveVersion,ActiveVersion,AiSkill,,ActiveVersion,Active Version,Active Version,テキスト(18),false,true,false,true,true,true
000000000000000AAA,AiSkill.AiSkillDefinition,AiSkillDefinition,AiSkill,,AiSkillDefinition,AI Skill Definition,AI Skill Definition,テキスト(15),false,true,false,true,true,true
000000000000000AAA,AiSkill.ApiName,ApiName,AiSkill,,ApiName,API Name,API Name,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AiSkill.Category,Category,AiSkill,,Category,Category,Category,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiSkill.CreatedBy,CreatedById,AiSkill,,CreatedBy,Created By,Created By,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,AiSkill.CreatedDate,CreatedDate,AiSkill,,CreatedDate,Created Date,Created Date,日付/時間,false,false,true,true,false,true
000000000000000AAA,AiSkill.Description,Description,AiSkill,,Description,Description,Description,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AiSkill.Id,Id,AiSkill,,Id,AI Skill ID,AI Skill ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiSkill.IsDeleted,IsDeleted,AiSkill,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiSkill.LastCreatedVersion,LastCreatedVersion,AiSkill,,LastCreatedVersion,Last Created Version,Last Created Version,テキスト(18),false,true,false,true,true,true
000000000000000AAA,AiSkill.LastModifiedBy,LastModifiedById,AiSkill,,LastModifiedBy,Last Modified By,Last Modified By,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiSkill.LastModifiedDate,LastModifiedDate,AiSkill,,LastModifiedDate,Last Modified Date,Last Modified Date,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiSkill.LastReferencedDate,LastReferencedDate,AiSkill,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,AiSkill.LastViewedDate,LastViewedDate,AiSkill,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,AiSkill.Name,Name,AiSkill,,Name,Name,Name,テキスト(255),false,false,true,true,true,true
000000000000000AAA,AiSkill.NamespacePrefix,NamespacePrefix,AiSkill,,NamespacePrefix,Namespace Prefix,Namespace Prefix,テキスト(40),false,true,false,true,true,true
000000000000000AAA,AiSkill.Owner,OwnerId,AiSkill,,Owner,Owner,Owner,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,AiSkill.RecordVisibility,RecordVisibilityId,AiSkill,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,AiSkill.Source,Source,AiSkill,,Source,Source,Source,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiSkill.Status,Status,AiSkill,,Status,Status,Status,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiSkill.SystemModstamp,SystemModstamp,AiSkill,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AiSkill.Type,Type,AiSkill,,Type,Type,Type,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AiSkill.UserRecordAccess,UserRecordAccessId,AiSkill,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
000000000000000AAA,AiSkill.Visibility,Visibility,AiSkill,,Visibility,Visibility,Visibility,選択リスト,false,true,false,true,true,true
