Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AiSurfaceDefinition.CreatedBy,CreatedById,AiSurfaceDefinition,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiSurfaceDefinition.CreatedDate,CreatedDate,AiSurfaceDefinition,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiSurfaceDefinition.Description,Description,AiSurfaceDefinition,,Description,説明,説明,ロングテキストエリア(2000),false,false,false,false,false,false
000000000000000AAA,AiSurfaceDefinition.DeveloperName,DeveloperName,AiSurfaceDefinition,,DeveloperName,AI サーフェス定義名,AI サーフェス定義名,テキスト(80),false,false,true,true,true,true
000000000000000AAA,AiSurfaceDefinition.Id,Id,AiSurfaceDefinition,,Id,AI サーフェス定義 ID,AI サーフェス定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AiSurfaceDefinition.IsDeleted,IsDeleted,AiSurfaceDefinition,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AiSurfaceDefinition.Language,Language,AiSurfaceDefinition,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,AiSurfaceDefinition.LastModifiedBy,LastModifiedById,AiSurfaceDefinition,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AiSurfaceDefinition.LastModifiedDate,LastModifiedDate,AiSurfaceDefinition,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AiSurfaceDefinition.ManageableState,ManageableState,AiSurfaceDefinition,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AiSurfaceDefinition.MasterLabel,MasterLabel,AiSurfaceDefinition,,MasterLabel,AI サーフェス定義のマスター表示ラベル,AI サーフェス定義のマスター表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AiSurfaceDefinition.NamespacePrefix,NamespacePrefix,AiSurfaceDefinition,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,AiSurfaceDefinition.Source,Source,AiSurfaceDefinition,,Source,ソース,ソース,選択リスト(AI サーフェス定義),false,true,false,true,true,true
000000000000000AAA,AiSurfaceDefinition.SurfaceType,SurfaceType,AiSurfaceDefinition,,SurfaceType,サーフェス種別,サーフェス種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,AiSurfaceDefinition.SystemModstamp,SystemModstamp,AiSurfaceDefinition,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
