Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AnalyticsDashboardVersion.ApiVersion,ApiVersion,AnalyticsDashboardVersion,,ApiVersion,API Version,API Version,数値(18、0),false,true,false,true,false,true
000000000000000AAA,AnalyticsDashboardVersion.CreatedBy,CreatedById,AnalyticsDashboardVersion,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.CreatedDate,CreatedDate,AnalyticsDashboardVersion,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsDashboardVersion.Description,Description,AnalyticsDashboardVersion,,Description,Description,Description,ロングテキストエリア(1000),false,true,false,false,false,false
000000000000000AAA,AnalyticsDashboardVersion.DeveloperName,DeveloperName,AnalyticsDashboardVersion,,DeveloperName,オブジェクト名,オブジェクト名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.Id,Id,AnalyticsDashboardVersion,,Id,Analytics Dashboard Versions ID,Analytics Dashboard Versions ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.IsDeleted,IsDeleted,AnalyticsDashboardVersion,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.Language,Language,AnalyticsDashboardVersion,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.LastModifiedBy,LastModifiedById,AnalyticsDashboardVersion,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.LastModifiedDate,LastModifiedDate,AnalyticsDashboardVersion,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsDashboardVersion.ManageableState,ManageableState,AnalyticsDashboardVersion,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.MasterLabel,MasterLabel,AnalyticsDashboardVersion,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.NamespacePrefix,NamespacePrefix,AnalyticsDashboardVersion,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.SobjectType,AnalyticsDashboardId,AnalyticsDashboardVersion,,SobjectType,Analytics ダッシュボード,Analytics ダッシュボード,参照関係(Analytics ダッシュボード),false,false,true,true,true,true
000000000000000AAA,AnalyticsDashboardVersion.SystemModstamp,SystemModstamp,AnalyticsDashboardVersion,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AnalyticsDashboardVersion.Type,Type,AnalyticsDashboardVersion,,Type,Version Type,Version Type,選択リスト,false,false,false,true,true,true
