Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AnalyticsImageWidgetDef.AnalyticsDashboardWidget,AnalyticsDashboardWidgetId,AnalyticsImageWidgetDef,,AnalyticsDashboardWidget,Analytics ダッシュボードウィジェット,Analytics ダッシュボードウィジェット,主従関係(Analytics Dashboard Widget),false,false,true,true,true,true
000000000000000AAA,AnalyticsImageWidgetDef.CreatedBy,CreatedById,AnalyticsImageWidgetDef,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsImageWidgetDef.CreatedDate,CreatedDate,AnalyticsImageWidgetDef,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsImageWidgetDef.Id,Id,AnalyticsImageWidgetDef,,Id,AnalyticsImageWidgetDef ID,AnalyticsImageWidgetDef ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AnalyticsImageWidgetDef.IsDeleted,IsDeleted,AnalyticsImageWidgetDef,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AnalyticsImageWidgetDef.LastModifiedBy,LastModifiedById,AnalyticsImageWidgetDef,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsImageWidgetDef.LastModifiedDate,LastModifiedDate,AnalyticsImageWidgetDef,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsImageWidgetDef.ManageableState,ManageableState,AnalyticsImageWidgetDef,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,AnalyticsImageWidgetDef.Parameters,Parameters,AnalyticsImageWidgetDef,,Parameters,画像ウィジェット定義パラメーター,画像ウィジェット定義パラメーター,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,AnalyticsImageWidgetDef.Source,SourceId,AnalyticsImageWidgetDef,,Source,画像のソース,画像のソース,参照関係(アセットファイル),false,true,false,true,true,true
000000000000000AAA,AnalyticsImageWidgetDef.SystemModstamp,SystemModstamp,AnalyticsImageWidgetDef,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
