Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AnalyticsLicensedAsset.ConsumerNamespace,ConsumerNamespace,AnalyticsLicensedAsset,,ConsumerNamespace,コンシューマー名前空間,コンシューマー名前空間,選択リスト,false,true,false,true,true,true
000000000000000AAA,AnalyticsLicensedAsset.CreatedBy,CreatedById,AnalyticsLicensedAsset,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsLicensedAsset.CreatedDate,CreatedDate,AnalyticsLicensedAsset,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsLicensedAsset.Id,Id,AnalyticsLicensedAsset,,Id,Analytics ライセンスアセット ID,Analytics ライセンスアセット ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AnalyticsLicensedAsset.IsDeleted,IsDeleted,AnalyticsLicensedAsset,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AnalyticsLicensedAsset.LastModifiedBy,LastModifiedById,AnalyticsLicensedAsset,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsLicensedAsset.LastModifiedDate,LastModifiedDate,AnalyticsLicensedAsset,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsLicensedAsset.LicensedAsset,LicensedAssetId,AnalyticsLicensedAsset,,LicensedAsset,対象アセット,対象アセット,"参照関係(データセット,データプレップレシピ,データフロー,実行プラン)",false,true,true,true,true,true
000000000000000AAA,AnalyticsLicensedAsset.LicenseType,LicenseType,AnalyticsLicensedAsset,,LicenseType,ライセンスの種類,ライセンスの種類,選択リスト,false,false,true,true,true,true
000000000000000AAA,AnalyticsLicensedAsset.SystemModstamp,SystemModstamp,AnalyticsLicensedAsset,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
