Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AnalyticsWorkspcDataspcPerm.CreatedBy,CreatedById,AnalyticsWorkspcDataspcPerm,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.CreatedDate,CreatedDate,AnalyticsWorkspcDataspcPerm,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.DeveloperName,DeveloperName,AnalyticsWorkspcDataspcPerm,,DeveloperName,Name,Name,テキスト(80),false,false,true,true,true,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.Id,Id,AnalyticsWorkspcDataspcPerm,,Id,Analytics Workspace Dataspace Permissions ID,Analytics Workspace Dataspace Permissions ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.IsDeleted,IsDeleted,AnalyticsWorkspcDataspcPerm,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.Language,Language,AnalyticsWorkspcDataspcPerm,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.LastModifiedBy,LastModifiedById,AnalyticsWorkspcDataspcPerm,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.LastModifiedDate,LastModifiedDate,AnalyticsWorkspcDataspcPerm,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.MasterLabel,MasterLabel,AnalyticsWorkspcDataspcPerm,,MasterLabel,Label,Label,テキスト(80),false,false,false,true,true,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.PermissionSet,PermissionSetId,AnalyticsWorkspcDataspcPerm,,PermissionSet,Permission Set,Permission Set,参照関係(権限セット),false,true,false,true,true,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.SystemModstamp,SystemModstamp,AnalyticsWorkspcDataspcPerm,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AnalyticsWorkspcDataspcPerm.Workspace,WorkspaceId,AnalyticsWorkspcDataspcPerm,,Workspace,Workspace,Workspace,参照関係(分析ワークスペース),false,true,true,true,true,true
