Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApexComponent.ApiVersion,ApiVersion,ApexComponent,,ApiVersion,API バージョン,API バージョン,数値(17、1),false,false,false,true,false,true
000000000000000AAA,ApexComponent.ControllerKey,ControllerKey,ApexComponent,,ControllerKey,コントローラーキー,コントローラーキー,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ApexComponent.ControllerType,ControllerType,ApexComponent,,ControllerType,コントローラー種別,コントローラー種別,選択リスト,false,false,true,true,true,true
000000000000000AAA,ApexComponent.CreatedBy,CreatedById,ApexComponent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApexComponent.CreatedDate,CreatedDate,ApexComponent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApexComponent.Description,Description,ApexComponent,,Description,説明,説明,テキストエリア(4000),false,true,false,true,false,true
000000000000000AAA,ApexComponent.Id,Id,ApexComponent,,Id,Visualforce コンポーネント ID,Visualforce コンポーネント ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ApexComponent.LastModifiedBy,LastModifiedById,ApexComponent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApexComponent.LastModifiedDate,LastModifiedDate,ApexComponent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApexComponent.ManageableState,ManageableState,ApexComponent,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ApexComponent.Markup,Markup,ApexComponent,,Markup,マークアップ,マークアップ,ロングテキストエリア(1048576),false,false,false,false,false,false
000000000000000AAA,ApexComponent.MasterLabel,MasterLabel,ApexComponent,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ApexComponent.Name,Name,ApexComponent,,Name,名前,名前,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ApexComponent.NameNorm,NameNorm,ApexComponent,,NameNorm,名前 小文字,名前 小文字,テキスト(510),false,false,false,true,false,true
000000000000000AAA,ApexComponent.NamespacePrefix,NamespacePrefix,ApexComponent,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ApexComponent.SystemModstamp,SystemModstamp,ApexComponent,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
