Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApexLog.Application,Application,ApexLog,,Application,アプリケーション,アプリケーション,テキスト(64),false,false,false,true,true,true
000000000000000AAA,ApexLog.Body,Body,ApexLog,,Body,内容,内容,テキストエリア,false,true,false,false,false,false
000000000000000AAA,ApexLog.BodyLocation,BodyLocation,ApexLog,,BodyLocation,本文の場所,本文の場所,テキスト(3),false,true,false,true,true,true
000000000000000AAA,ApexLog.BodyVersion,BodyVersion,ApexLog,,BodyVersion,本文バージョン,本文バージョン,テキスト(15),false,true,false,true,true,true
000000000000000AAA,ApexLog.DurationMilliseconds,DurationMilliseconds,ApexLog,,DurationMilliseconds,所要時間 (ミリ秒),所要時間 (ミリ秒),数値(9、0),false,false,false,true,true,true
000000000000000AAA,ApexLog.Id,Id,ApexLog,,Id,ログ ID,ログ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ApexLog.LastModifiedDate,LastModifiedDate,ApexLog,,LastModifiedDate,日付,日付,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApexLog.Location,Location,ApexLog,,Location,場所,場所,選択リスト,false,true,false,true,true,true
000000000000000AAA,ApexLog.LogLength,LogLength,ApexLog,,LogLength,ログサイズ (バイト),ログサイズ (バイト),数値(9、0),false,false,false,true,true,true
000000000000000AAA,ApexLog.LogUser,LogUserId,ApexLog,,LogUser,ログユーザー,ログユーザー,参照関係(ユーザー),false,true,true,true,true,true
000000000000000AAA,ApexLog.Operation,Operation,ApexLog,,Operation,操作,操作,テキスト(128),false,false,false,true,true,true
000000000000000AAA,ApexLog.Request,Request,ApexLog,,Request,要求種別,要求種別,テキスト(16),false,false,false,true,true,true
000000000000000AAA,ApexLog.RequestedBy,RequestedById,ApexLog,,RequestedBy,要求者,要求者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApexLog.RequestIdentifier,RequestIdentifier,ApexLog,,RequestIdentifier,要求 ID,要求 ID,テキスト(84),false,true,false,true,true,true
000000000000000AAA,ApexLog.StartTime,StartTime,ApexLog,,StartTime,開始時刻,開始時刻,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApexLog.Status,Status,ApexLog,,Status,状況,状況,テキスト(255),false,false,false,true,true,true
000000000000000AAA,ApexLog.SystemModstamp,SystemModstamp,ApexLog,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
