Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApexSettings.DefaultQueueableDelay,DefaultQueueableDelay,ApexSettings,,DefaultQueueableDelay,__MISSING LABEL__ PropertyFile - val DefaultQueueableDelay not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val DefaultQueueableDelay not found in section udd_SettingsTemplate,数値(-1、0),false,true,false,true,true,true
000000000000000AAA,ApexSettings.ExternalId,DurableId,ApexSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,ApexSettings.FullName,FullName,ApexSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ApexSettings.Id,Id,ApexSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,ApexSettings.IsAggregateCodeCoverageOnlyEnabled,IsAggregateCodeCoverageOnlyEnabled,ApexSettings,,IsAggregateCodeCoverageOnlyEnabled,__MISSING LABEL__ PropertyFile - val IsAggregateCodeCoverageOnlyEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAggregateCodeCoverageOnlyEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApexSettings.IsApexAccessRightsPrefEnabled,IsApexAccessRightsPrefEnabled,ApexSettings,,IsApexAccessRightsPrefEnabled,__MISSING LABEL__ PropertyFile - val IsApexAccessRightsPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsApexAccessRightsPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApexSettings.IsApexApprovalLockUnlockEnabled,IsApexApprovalLockUnlockEnabled,ApexSettings,,IsApexApprovalLockUnlockEnabled,__MISSING LABEL__ PropertyFile - val IsApexApprovalLockUnlockEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsApexApprovalLockUnlockEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApexSettings.IsApexCtrlImplicitWithSharingPrefEnabled,IsApexCtrlImplicitWithSharingPrefEnabled,ApexSettings,,IsApexCtrlImplicitWithSharingPrefEnabled,__MISSING LABEL__ PropertyFile - val IsApexCtrlImplicitWithSharingPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsApexCtrlImplicitWithSharingPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApexSettings.IsApexPropertyGetterPrefEnabled,IsApexPropertyGetterPrefEnabled,ApexSettings,,IsApexPropertyGetterPrefEnabled,__MISSING LABEL__ PropertyFile - val IsApexPropertyGetterPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsApexPropertyGetterPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApexSettings.IsAsyncApexElasticExecutionsEnabled,IsAsyncApexElasticExecutionsEnabled,ApexSettings,,IsAsyncApexElasticExecutionsEnabled,__MISSING LABEL__ PropertyFile - val IsAsyncApexElasticExecutionsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAsyncApexElasticExecutionsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApexSettings.IsAuraApexCtrlAuthUserAccessCheckPrefEnabled,IsAuraApexCtrlAuthUserAccessCheckPrefEnabled,ApexSettings,,IsAuraApexCtrlAuthUserAccessCheckPrefEnabled,__MISSING LABEL__ PropertyFile - val IsAuraApexCtrlAuthUserAccessCheckPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAuraApexCtrlAuthUserAccessCheckPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApexSettings.IsAuraApexCtrlGuestUserAccessCheckPrefEnabled,IsAuraApexCtrlGuestUserAccessCheckPrefEnabled,ApexSettings,,IsAuraApexCtrlGuestUserAccessCheckPrefEnabled,__MISSING LABEL__ PropertyFile - val IsAuraApexCtrlGuestUserAccessCheckPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsAuraApexCtrlGuestUserAccessCheckPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApexSettings.IsBlockPackagedApexExecAnonEnabled,IsBlockPackagedApexExecAnonEnabled,ApexSettings,,IsBlockPackagedApexExecAnonEnabled,__MISSING LABEL__ PropertyFile - val IsBlockPackagedApexExecAnonEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsBlockPackagedApexExecAnonEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
