Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApiAnomalyEventStoreFeed.BestComment,BestCommentId,ApiAnomalyEventStoreFeed,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.Body,Body,ApiAnomalyEventStoreFeed,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,ApiAnomalyEventStoreFeed.CommentCount,CommentCount,ApiAnomalyEventStoreFeed,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.CreatedBy,CreatedById,ApiAnomalyEventStoreFeed,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.CreatedDate,CreatedDate,ApiAnomalyEventStoreFeed,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApiAnomalyEventStoreFeed.Id,Id,ApiAnomalyEventStoreFeed,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.InsertedBy,InsertedById,ApiAnomalyEventStoreFeed,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,true,false,false,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.IsDeleted,IsDeleted,ApiAnomalyEventStoreFeed,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.IsRichText,IsRichText,ApiAnomalyEventStoreFeed,,IsRichText,リッチテキスト,リッチテキスト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.LastModifiedDate,LastModifiedDate,ApiAnomalyEventStoreFeed,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApiAnomalyEventStoreFeed.LikeCount,LikeCount,ApiAnomalyEventStoreFeed,,LikeCount,いいね! の数,いいね! の数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.LinkUrl,LinkUrl,ApiAnomalyEventStoreFeed,,LinkUrl,リンク URL,リンク URL,URL(1000),false,true,false,false,false,true
000000000000000AAA,ApiAnomalyEventStoreFeed.Parent,ParentId,ApiAnomalyEventStoreFeed,,Parent,親,親,参照関係(API 異常イベントストア),false,false,true,true,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.RelatedRecord,RelatedRecordId,ApiAnomalyEventStoreFeed,,RelatedRecord,関連レコード,関連レコード,"参照関係(コンテンツバージョン,キャンバスフィード項目)",false,true,false,false,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.SystemModstamp,SystemModstamp,ApiAnomalyEventStoreFeed,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ApiAnomalyEventStoreFeed.Title,Title,ApiAnomalyEventStoreFeed,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,true,true
000000000000000AAA,ApiAnomalyEventStoreFeed.Type,Type,ApiAnomalyEventStoreFeed,,Type,フィード項目種別,フィード項目種別,選択リスト,false,true,false,true,true,true
