Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApiProtectionPolicy.ConsumerType,ConsumerType,ApiProtectionPolicy,,ConsumerType,Consumer Type,Consumer Type,選択リスト,false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicy.CreatedBy,CreatedById,ApiProtectionPolicy,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicy.CreatedDate,CreatedDate,ApiProtectionPolicy,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApiProtectionPolicy.Description,Description,ApiProtectionPolicy,,Description,Description,Description,テキスト(1333),false,true,false,true,false,true
000000000000000AAA,ApiProtectionPolicy.DeveloperName,DeveloperName,ApiProtectionPolicy,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ApiProtectionPolicy.Id,Id,ApiProtectionPolicy,,Id,API 保護ポリシー ID,API 保護ポリシー ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ApiProtectionPolicy.IsDeleted,IsDeleted,ApiProtectionPolicy,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicy.Kind,Kind,ApiProtectionPolicy,,Kind,Kind,Kind,選択リスト,false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicy.Language,Language,ApiProtectionPolicy,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicy.LastModifiedBy,LastModifiedById,ApiProtectionPolicy,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicy.LastModifiedDate,LastModifiedDate,ApiProtectionPolicy,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApiProtectionPolicy.MasterLabel,MasterLabel,ApiProtectionPolicy,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicy.PolicyExecutionOrder,PolicyExecutionOrder,ApiProtectionPolicy,,PolicyExecutionOrder,Policy Execution Order,Policy Execution Order,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ApiProtectionPolicy.SystemModstamp,SystemModstamp,ApiProtectionPolicy,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
