Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ApiPrtcPolicyRuleConn.AiAgent,AiAgentId,ApiPrtcPolicyRuleConn,,AiAgent,Ai Agent reference,Ai Agent reference,参照関係(AI エージェント),false,true,false,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.ApiProtectionPolicy,ApiProtectionPolicyId,ApiPrtcPolicyRuleConn,,ApiProtectionPolicy,API Protection Policies,API Protection Policies,主従関係(API Protection Policies),false,false,true,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.ApiProtectionPolicyRule,ApiProtectionPolicyRuleId,ApiPrtcPolicyRuleConn,,ApiProtectionPolicyRule,API Protection Policy Rules,API Protection Policy Rules,参照関係(API Protection Policy Rules),false,true,false,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.CreatedBy,CreatedById,ApiPrtcPolicyRuleConn,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.CreatedDate,CreatedDate,ApiPrtcPolicyRuleConn,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApiPrtcPolicyRuleConn.ExecutionOrder,ExecutionOrder,ApiPrtcPolicyRuleConn,,ExecutionOrder,Execution Order,Execution Order,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.ExternalServiceRegistration,ExternalServiceRegistrationId,ApiPrtcPolicyRuleConn,,ExternalServiceRegistration,External Service Registration reference,External Service Registration reference,参照関係(外部サービス登録),false,true,false,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.Id,Id,ApiPrtcPolicyRuleConn,,Id,API Protection Policy Rule Connections ID,API Protection Policy Rule Connections ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.IsDeleted,IsDeleted,ApiPrtcPolicyRuleConn,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.LastModifiedBy,LastModifiedById,ApiPrtcPolicyRuleConn,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.LastModifiedDate,LastModifiedDate,ApiPrtcPolicyRuleConn,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ApiPrtcPolicyRuleConn.NamedCredential,NamedCredentialId,ApiPrtcPolicyRuleConn,,NamedCredential,Named Credential reference,Named Credential reference,参照関係(指定ログイン情報),false,true,false,true,true,true
000000000000000AAA,ApiPrtcPolicyRuleConn.SystemModstamp,SystemModstamp,ApiPrtcPolicyRuleConn,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
