Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AppDefinition.Description,Description,AppDefinition,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AppDefinition.DeveloperName,DeveloperName,AppDefinition,,DeveloperName,API 参照名,API 参照名,テキスト(80),false,true,false,true,true,true
000000000000000AAA,AppDefinition.ExternalId,DurableId,AppDefinition,,ExternalId,デュラブル ID,デュラブル ID,外部参照,false,true,false,true,true,true
000000000000000AAA,AppDefinition.HeaderColor,HeaderColor,AppDefinition,,HeaderColor,ヘッダーの色,ヘッダーの色,テキスト(20),false,true,false,true,true,true
000000000000000AAA,AppDefinition.Id,Id,AppDefinition,,Id,アプリケーション定義 ID,アプリケーション定義 ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,AppDefinition.IsLargeFormFactorSupported,IsLargeFormFactorSupported,AppDefinition,,IsLargeFormFactorSupported,[大] のフォーム要素をサポートする,[大] のフォーム要素をサポートする,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AppDefinition.IsMediumFormFactorSupported,IsMediumFormFactorSupported,AppDefinition,,IsMediumFormFactorSupported,[中] のフォーム要素をサポートする,[中] のフォーム要素をサポートする,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AppDefinition.IsNavAutoTempTabsDisabled,IsNavAutoTempTabsDisabled,AppDefinition,,IsNavAutoTempTabsDisabled,ナビゲーションメニューの一時タブの自動作成が無効,ナビゲーションメニューの一時タブの自動作成が無効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AppDefinition.IsNavPersonalizationDisabled,IsNavPersonalizationDisabled,AppDefinition,,IsNavPersonalizationDisabled,ナビゲーションメニューのパーソナライズが無効,ナビゲーションメニューのパーソナライズが無効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AppDefinition.IsNavTabPersistenceDisabled,IsNavTabPersistenceDisabled,AppDefinition,,IsNavTabPersistenceDisabled,ワークスペースタブのクリアが有効,ワークスペースタブのクリアが有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AppDefinition.IsOmniPinnedViewEnabled,IsOmniPinnedViewEnabled,AppDefinition,,IsOmniPinnedViewEnabled,オムニチャネルサイドバーが有効,オムニチャネルサイドバーが有効,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AppDefinition.IsOverrideOrgTheme,IsOverrideOrgTheme,AppDefinition,,IsOverrideOrgTheme,組織テーマを上書きする,組織テーマを上書きする,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AppDefinition.IsSmallFormFactorSupported,IsSmallFormFactorSupported,AppDefinition,,IsSmallFormFactorSupported,[小] のフォーム要素をサポートする,[小] のフォーム要素をサポートする,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AppDefinition.Label,Label,AppDefinition,,Label,表示ラベル,表示ラベル,テキスト(1000),false,true,false,true,false,true
000000000000000AAA,AppDefinition.LogoUrl,LogoUrl,AppDefinition,,LogoUrl,ロゴ URL,ロゴ URL,URL(255),false,true,false,true,true,true
000000000000000AAA,AppDefinition.MasterLabel,MasterLabel,AppDefinition,,MasterLabel,マスター表示ラベル,マスター表示ラベル,テキスト(40),false,true,false,true,true,true
000000000000000AAA,AppDefinition.NamespacePrefix,NamespacePrefix,AppDefinition,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト(15),false,true,false,true,true,true
000000000000000AAA,AppDefinition.NavType,NavType,AppDefinition,,NavType,ナビゲーション種別,ナビゲーション種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,AppDefinition.UiType,UiType,AppDefinition,,UiType,UI 種別,UI 種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,AppDefinition.UtilityBar,UtilityBar,AppDefinition,,UtilityBar,ユーティリティバー名,ユーティリティバー名,テキスト(80),false,true,false,true,true,true
