Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AssociatedLocationChangeEvent.ActiveFrom,ActiveFrom,AssociatedLocationChangeEvent,,ActiveFrom,有効化日,有効化日,日付/時間,false,true,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.ActiveTo,ActiveTo,AssociatedLocationChangeEvent,,ActiveTo,有効期限,有効期限,日付/時間,false,true,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.ChangeEventHeader,ChangeEventHeader,AssociatedLocationChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.CreatedBy,CreatedById,AssociatedLocationChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.CreatedDate,CreatedDate,AssociatedLocationChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.LastModifiedBy,LastModifiedById,AssociatedLocationChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.LastModifiedDate,LastModifiedDate,AssociatedLocationChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.Location,LocationId,AssociatedLocationChangeEvent,,Location,ロケーション名,ロケーション名,参照関係(ロケーション),false,true,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.Name,AssociatedLocationNumber,AssociatedLocationChangeEvent,,Name,関連付けられているロケーション名,関連付けられているロケーション名,自動採番,false,false,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.ParentRecord,ParentRecordId,AssociatedLocationChangeEvent,,ParentRecord,取引先名,取引先名,参照関係(取引先),false,true,false,false,false,false
000000000000000AAA,AssociatedLocationChangeEvent.Type,Type,AssociatedLocationChangeEvent,,Type,種別,種別,選択リスト,false,true,false,false,false,false
