Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AssociatedLocationHistory.AssociatedLocation,AssociatedLocationId,AssociatedLocationHistory,,AssociatedLocation,関連付けられたロケーション,関連付けられたロケーション,参照関係(関連付けられたロケーション),false,false,true,true,true,true
000000000000000AAA,AssociatedLocationHistory.CreatedBy,CreatedById,AssociatedLocationHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,AssociatedLocationHistory.CreatedDate,CreatedDate,AssociatedLocationHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,AssociatedLocationHistory.DataType,DataType,AssociatedLocationHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,AssociatedLocationHistory.Field,Field,AssociatedLocationHistory,,Field,変更された項目,変更された項目,"選択リスト(Custom Field Definitions,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,AssociatedLocationHistory.Id,Id,AssociatedLocationHistory,,Id,関連付けられたロケーション履歴 ID,関連付けられたロケーション履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AssociatedLocationHistory.IsDeleted,IsDeleted,AssociatedLocationHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AssociatedLocationHistory.NewvalDate,NewvalDate,AssociatedLocationHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,AssociatedLocationHistory.NewvalFirstName,NewvalFirstName,AssociatedLocationHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AssociatedLocationHistory.NewvalLastName,NewvalLastName,AssociatedLocationHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AssociatedLocationHistory.NewValue,NewValue,AssociatedLocationHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,AssociatedLocationHistory.OldvalDate,OldvalDate,AssociatedLocationHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,AssociatedLocationHistory.OldvalFirstName,OldvalFirstName,AssociatedLocationHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AssociatedLocationHistory.OldvalLastName,OldvalLastName,AssociatedLocationHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AssociatedLocationHistory.OldValue,OldValue,AssociatedLocationHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
