Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AuthorizationFormConsent.AuthorizationFormText,AuthorizationFormTextId,AuthorizationFormConsent,,AuthorizationFormText,認証フォームテキスト,認証フォームテキスト,参照関係(認証フォームテキスト),false,true,false,true,true,true
000000000000000AAA,AuthorizationFormConsent.ConsentCapturedDateTime,ConsentCapturedDateTime,AuthorizationFormConsent,,ConsentCapturedDateTime,同意キャプチャ日時,同意キャプチャ日時,日付/時間,false,true,false,true,false,true
000000000000000AAA,AuthorizationFormConsent.ConsentCapturedSource,ConsentCapturedSource,AuthorizationFormConsent,,ConsentCapturedSource,同意キャプチャ元,同意キャプチャ元,テキスト(255),false,true,false,true,true,true
000000000000000AAA,AuthorizationFormConsent.ConsentCapturedSourceType,ConsentCapturedSourceType,AuthorizationFormConsent,,ConsentCapturedSourceType,同意キャプチャ元種別,同意キャプチャ元種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,AuthorizationFormConsent.ConsentGiver,ConsentGiverId,AuthorizationFormConsent,,ConsentGiver,Consent Givers,Consent Givers,"参照関係(ユーザー,個人,取引先,取引先責任者,リード)",false,false,true,true,true,true
000000000000000AAA,AuthorizationFormConsent.CreatedBy,CreatedById,AuthorizationFormConsent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,AuthorizationFormConsent.CreatedDate,CreatedDate,AuthorizationFormConsent,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,AuthorizationFormConsent.DocumentVersion,DocumentVersionId,AuthorizationFormConsent,,DocumentVersion,コンテンツバージョン,コンテンツバージョン,参照関係(コンテンツバージョン),false,true,false,true,true,true
000000000000000AAA,AuthorizationFormConsent.Id,Id,AuthorizationFormConsent,,Id,認証フォーム同意 ID,認証フォーム同意 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,AuthorizationFormConsent.IsDeleted,IsDeleted,AuthorizationFormConsent,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,AuthorizationFormConsent.LastModifiedBy,LastModifiedById,AuthorizationFormConsent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,AuthorizationFormConsent.LastModifiedDate,LastModifiedDate,AuthorizationFormConsent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,AuthorizationFormConsent.LastReferencedDate,LastReferencedDate,AuthorizationFormConsent,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,AuthorizationFormConsent.LastViewedDate,LastViewedDate,AuthorizationFormConsent,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,AuthorizationFormConsent.Name,Name,AuthorizationFormConsent,,Name,名前,名前,テキスト(255),false,false,true,true,true,true
000000000000000AAA,AuthorizationFormConsent.Owner,OwnerId,AuthorizationFormConsent,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,AuthorizationFormConsent.RecordVisibility,RecordVisibilityId,AuthorizationFormConsent,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,AuthorizationFormConsent.RelatedRecord,RelatedRecordId,AuthorizationFormConsent,,RelatedRecord,関連レコード,関連レコード,参照関係(取引先),false,true,false,true,true,true
000000000000000AAA,AuthorizationFormConsent.Status,Status,AuthorizationFormConsent,,Status,状況,状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,AuthorizationFormConsent.SystemModstamp,SystemModstamp,AuthorizationFormConsent,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,AuthorizationFormConsent.UserRecordAccess,UserRecordAccessId,AuthorizationFormConsent,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
