Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,AuthorizationFormTextChangeEvent.AuthorizationForm,AuthorizationFormId,AuthorizationFormTextChangeEvent,,AuthorizationForm,認証フォーム,認証フォーム,参照関係(認証フォーム),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.ChangeEventHeader,ChangeEventHeader,AuthorizationFormTextChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.ContentDocument,ContentDocumentId,AuthorizationFormTextChangeEvent,,ContentDocument,コンテンツドキュメント,コンテンツドキュメント,参照関係(コンテンツドキュメント),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.CreatedBy,CreatedById,AuthorizationFormTextChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.CreatedDate,CreatedDate,AuthorizationFormTextChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.DetailAuthorizationFormText,DetailAuthorizationFormText,AuthorizationFormTextChangeEvent,,DetailAuthorizationFormText,詳細な認証フォームテキスト,詳細な認証フォームテキスト,リッチテキストエリア(32768),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.FullAuthorizationFormUrl,FullAuthorizationFormUrl,AuthorizationFormTextChangeEvent,,FullAuthorizationFormUrl,完全な認証フォーム URL,完全な認証フォーム URL,テキスト(255),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.LastModifiedBy,LastModifiedById,AuthorizationFormTextChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.LastModifiedDate,LastModifiedDate,AuthorizationFormTextChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.Locale,Locale,AuthorizationFormTextChangeEvent,,Locale,地域,地域,選択リスト,false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.LocaleSelection,LocaleSelection,AuthorizationFormTextChangeEvent,,LocaleSelection,地域,地域,選択リスト,false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.Name,Name,AuthorizationFormTextChangeEvent,,Name,名前,名前,テキスト(255),false,true,false,false,false,false
000000000000000AAA,AuthorizationFormTextChangeEvent.SummaryAuthFormText,SummaryAuthFormText,AuthorizationFormTextChangeEvent,,SummaryAuthFormText,認証フォームテキストの概要,認証フォームテキストの概要,テキスト(255),false,true,false,false,false,false
