Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,BackgroundOpOutcomeEvent.BackgroundOperation,BackgroundOperationId,BackgroundOpOutcomeEvent,,BackgroundOperation,バックグラウンド操作,バックグラウンド操作,参照関係(バックグラウンド操作),false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.CreatedBy,CreatedById,BackgroundOpOutcomeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.CreatedDate,CreatedDate,BackgroundOpOutcomeEvent,,CreatedDate,作成日,作成日,日付/時間,false,false,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.Error,Error,BackgroundOpOutcomeEvent,,Error,エラー,エラー,テキスト(1000),false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.EventUuid,EventUuid,BackgroundOpOutcomeEvent,,EventUuid,イベント UUID,イベント UUID,テキスト(36),false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.ExpiresAt,ExpiresAt,BackgroundOpOutcomeEvent,,ExpiresAt,有効期限,有効期限,日付/時間,false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.FinishedAt,FinishedAt,BackgroundOpOutcomeEvent,,FinishedAt,完了日時,完了日時,日付/時間,false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.Input,Input,BackgroundOpOutcomeEvent,,Input,入力,入力,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.ReplayId,ReplayId,BackgroundOpOutcomeEvent,,ReplayId,再実行 ID,再実行 ID,外部参照,false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.Result,Result,BackgroundOpOutcomeEvent,,Result,結果,結果,ロングテキストエリア(131072),false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.RetryCount,RetryCount,BackgroundOpOutcomeEvent,,RetryCount,再試行回数,再試行回数,数値(9、0),false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.StartedAt,StartedAt,BackgroundOpOutcomeEvent,,StartedAt,開始済み,開始済み,日付/時間,false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.Status,Status,BackgroundOpOutcomeEvent,,Status,状況,状況,選択リスト,false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.SubmittedAt,SubmittedAt,BackgroundOpOutcomeEvent,,SubmittedAt,処理日時,処理日時,日付/時間,false,true,false,false,false,false
000000000000000AAA,BackgroundOpOutcomeEvent.Type,Type,BackgroundOpOutcomeEvent,,Type,種別,種別,選択リスト,false,true,false,false,false,false
