Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,BrandingSet.CreatedBy,CreatedById,BrandingSet,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,BrandingSet.CreatedDate,CreatedDate,BrandingSet,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,BrandingSet.Description,Description,BrandingSet,,Description,説明,説明,テキストエリア(1000),false,true,false,true,false,true
000000000000000AAA,BrandingSet.DeveloperName,DeveloperName,BrandingSet,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,BrandingSet.FullName,FullName,BrandingSet,,FullName,メタデータ API の完全名,メタデータ API の完全名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,BrandingSet.Id,Id,BrandingSet,,Id,ブランドセット ID,ブランドセット ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,BrandingSet.IsDeleted,IsDeleted,BrandingSet,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,BrandingSet.Language,Language,BrandingSet,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,BrandingSet.LastModifiedBy,LastModifiedById,BrandingSet,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,BrandingSet.LastModifiedDate,LastModifiedDate,BrandingSet,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,BrandingSet.ManageableState,ManageableState,BrandingSet,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,BrandingSet.MasterLabel,MasterLabel,BrandingSet,,MasterLabel,セットラベル,セットラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,BrandingSet.Metadata,Metadata,BrandingSet,,Metadata,ブランドセットメタデータ,ブランドセットメタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,BrandingSet.NamespacePrefix,NamespacePrefix,BrandingSet,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,BrandingSet.SystemModstamp,SystemModstamp,BrandingSet,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,BrandingSet.Type,Type,BrandingSet,,Type,カスタムオブジェクトの定義,カスタムオブジェクトの定義,選択リスト(カスタムオブジェクトの定義),false,true,false,true,true,true
