Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.AdjustmentAmountScope,AdjustmentAmountScope,CartItemPriceAdjustmentChangeEvent,,AdjustmentAmountScope,調整金額範囲,調整金額範囲,選択リスト,false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.AdjustmentBasisReference,AdjustmentBasisReferenceId,CartItemPriceAdjustmentChangeEvent,,AdjustmentBasisReference,調整 (クーポン) の根拠,調整 (クーポン) の根拠,参照関係(クーポン),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.AdjustmentSource,AdjustmentSource,CartItemPriceAdjustmentChangeEvent,,AdjustmentSource,調整取得元,調整取得元,選択リスト,false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.AdjustmentTargetType,AdjustmentTargetType,CartItemPriceAdjustmentChangeEvent,,AdjustmentTargetType,調整の対象種別,調整の対象種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.AdjustmentType,AdjustmentType,CartItemPriceAdjustmentChangeEvent,,AdjustmentType,調整種別,調整種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.AdjustmentValue,AdjustmentValue,CartItemPriceAdjustmentChangeEvent,,AdjustmentValue,調整値,調整値,数値(16、2),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.Cart,CartId,CartItemPriceAdjustmentChangeEvent,,Cart,カート,カート,参照関係(カート),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.CartItem,CartItemId,CartItemPriceAdjustmentChangeEvent,,CartItem,カート項目,カート項目,参照関係(カート項目),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.ChangeEventHeader,ChangeEventHeader,CartItemPriceAdjustmentChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.CreatedBy,CreatedById,CartItemPriceAdjustmentChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.CreatedDate,CreatedDate,CartItemPriceAdjustmentChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.Description,Description,CartItemPriceAdjustmentChangeEvent,,Description,説明,説明,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.LastModifiedBy,LastModifiedById,CartItemPriceAdjustmentChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.LastModifiedDate,LastModifiedDate,CartItemPriceAdjustmentChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.Name,Name,CartItemPriceAdjustmentChangeEvent,,Name,カート品目価格調整名,カート品目価格調整名,テキスト(255),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.PriceAdjustmentCause,PriceAdjustmentCauseId,CartItemPriceAdjustmentChangeEvent,,PriceAdjustmentCause,価格調整の原因,価格調整の原因,参照関係(プロモーション),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.Priority,Priority,CartItemPriceAdjustmentChangeEvent,,Priority,調整の優先順序,調整の優先順序,数値(9、0),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.TotalAmount,TotalAmount,CartItemPriceAdjustmentChangeEvent,,TotalAmount,総額,総額,通貨(16、2),false,true,false,false,false,false
000000000000000AAA,CartItemPriceAdjustmentChangeEvent.WebCartAdjustmentGroup,WebCartAdjustmentGroupId,CartItemPriceAdjustmentChangeEvent,,WebCartAdjustmentGroup,カート調整グループ,カート調整グループ,参照関係(カート調整グループ),false,true,false,false,false,false
