Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CartTax.AdjustmentTargetType,AdjustmentTargetType,CartTax,,AdjustmentTargetType,調整の対象種別,調整の対象種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,CartTax.Amount,Amount,CartTax,,Amount,金額,金額,通貨(16、2),false,false,false,true,false,true
000000000000000AAA,CartTax.Cart,CartId,CartTax,,Cart,カート,カート,参照関係(カート),false,true,true,true,true,true
000000000000000AAA,CartTax.CartItem,CartItemId,CartTax,,CartItem,カート項目,カート項目,主従関係(カート項目),false,false,true,true,true,true
000000000000000AAA,CartTax.CartItemPriceAdjustment,CartItemPriceAdjustmentId,CartTax,,CartItemPriceAdjustment,カート品目価格調整,カート品目価格調整,参照関係(カート品目価格調整),false,true,false,true,true,true
000000000000000AAA,CartTax.CreatedBy,CreatedById,CartTax,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,CartTax.CreatedDate,CreatedDate,CartTax,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,CartTax.Description,Description,CartTax,,Description,説明,説明,ロングテキストエリア(2000),false,true,false,false,false,false
000000000000000AAA,CartTax.Id,Id,CartTax,,Id,カートの税額 ID,カートの税額 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CartTax.IsDeleted,IsDeleted,CartTax,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CartTax.LastModifiedBy,LastModifiedById,CartTax,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CartTax.LastModifiedDate,LastModifiedDate,CartTax,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CartTax.Name,Name,CartTax,,Name,カートの税額名,カートの税額名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,CartTax.RecordVisibility,RecordVisibilityId,CartTax,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,CartTax.SystemModstamp,SystemModstamp,CartTax,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,CartTax.TaxCalculationDate,TaxCalculationDate,CartTax,,TaxCalculationDate,税金の計算日,税金の計算日,日付,false,false,false,true,true,true
000000000000000AAA,CartTax.TaxRate,TaxRate,CartTax,,TaxRate,税率,税率,パーセント(3、2),false,true,false,true,false,true
000000000000000AAA,CartTax.TaxType,TaxType,CartTax,,TaxType,税種別,税種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,CartTax.UserRecordAccess,UserRecordAccessId,CartTax,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
