Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CaseSettings.CaseAssignNotificationTemplate,CaseAssignNotificationTemplate,CaseSettings,,CaseAssignNotificationTemplate,__MISSING LABEL__ PropertyFile - val CaseAssignNotificationTemplate not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CaseAssignNotificationTemplate not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseSettings.CaseAutoProcUser,CaseAutoProcUser,CaseSettings,,CaseAutoProcUser,__MISSING LABEL__ PropertyFile - val CaseAutoProcUser not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CaseAutoProcUser not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.CaseCloseNotificationTemplate,CaseCloseNotificationTemplate,CaseSettings,,CaseCloseNotificationTemplate,__MISSING LABEL__ PropertyFile - val CaseCloseNotificationTemplate not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CaseCloseNotificationTemplate not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseSettings.CaseCommentNotificationTemplate,CaseCommentNotificationTemplate,CaseSettings,,CaseCommentNotificationTemplate,__MISSING LABEL__ PropertyFile - val CaseCommentNotificationTemplate not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CaseCommentNotificationTemplate not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseSettings.CaseCreateNotificationTemplate,CaseCreateNotificationTemplate,CaseSettings,,CaseCreateNotificationTemplate,__MISSING LABEL__ PropertyFile - val CaseCreateNotificationTemplate not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CaseCreateNotificationTemplate not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseSettings.CaseFeedReadUnreadLtng,CaseFeedReadUnreadLtng,CaseSettings,,CaseFeedReadUnreadLtng,__MISSING LABEL__ PropertyFile - val CaseFeedReadUnreadLtng not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CaseFeedReadUnreadLtng not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.CaseMergeInLightning,CaseMergeInLightning,CaseSettings,,CaseMergeInLightning,__MISSING LABEL__ PropertyFile - val CaseMergeInLightning not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CaseMergeInLightning not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.CaseTimelineConfigs,CaseTimelineConfigs,CaseSettings,,CaseTimelineConfigs,__MISSING LABEL__ PropertyFile - val CaseTimelineConfigs not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CaseTimelineConfigs not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.CloseCaseThroughStatusChange,CloseCaseThroughStatusChange,CaseSettings,,CloseCaseThroughStatusChange,__MISSING LABEL__ PropertyFile - val CloseCaseThroughStatusChange not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val CloseCaseThroughStatusChange not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.DefaultCaseFeedLayoutOn,DefaultCaseFeedLayoutOn,CaseSettings,,DefaultCaseFeedLayoutOn,__MISSING LABEL__ PropertyFile - val DefaultCaseFeedLayoutOn not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val DefaultCaseFeedLayoutOn not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.DefaultCaseOwner,DefaultCaseOwner,CaseSettings,,DefaultCaseOwner,__MISSING LABEL__ PropertyFile - val DefaultCaseOwner not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val DefaultCaseOwner not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseSettings.DefaultCaseOwnerType,DefaultCaseOwnerType,CaseSettings,,DefaultCaseOwnerType,__MISSING LABEL__ PropertyFile - val DefaultCaseOwnerType not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val DefaultCaseOwnerType not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseSettings.DefaultCaseUser,DefaultCaseUser,CaseSettings,,DefaultCaseUser,__MISSING LABEL__ PropertyFile - val DefaultCaseUser not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val DefaultCaseUser not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseSettings.EmailActionDefaultsHandlerClass,EmailActionDefaultsHandlerClass,CaseSettings,,EmailActionDefaultsHandlerClass,__MISSING LABEL__ PropertyFile - val EmailActionDefaultsHandlerClass not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val EmailActionDefaultsHandlerClass not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CaseSettings.EmailToCase,EmailToCaseId,CaseSettings,,EmailToCase,__MISSING LABEL__ PropertyFile - val EmailToCase not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val EmailToCase not found in section udd_SettingsTemplate,外部参照,false,true,false,true,true,true
000000000000000AAA,CaseSettings.EscalateCaseBefore,EscalateCaseBefore,CaseSettings,,EscalateCaseBefore,__MISSING LABEL__ PropertyFile - val EscalateCaseBefore not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val EscalateCaseBefore not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.ExternalId,DurableId,CaseSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,CaseSettings.FullName,FullName,CaseSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,CaseSettings.GenericMessageEnabled,GenericMessageEnabled,CaseSettings,,GenericMessageEnabled,__MISSING LABEL__ PropertyFile - val GenericMessageEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val GenericMessageEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.HidePublicInCaseComment,HidePublicInCaseComment,CaseSettings,,HidePublicInCaseComment,__MISSING LABEL__ PropertyFile - val HidePublicInCaseComment not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val HidePublicInCaseComment not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.Id,Id,CaseSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,CaseSettings.IsCaseCommentTranslationEnabled,IsCaseCommentTranslationEnabled,CaseSettings,,IsCaseCommentTranslationEnabled,__MISSING LABEL__ PropertyFile - val IsCaseCommentTranslationEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCaseCommentTranslationEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.IsCaseFeedEnabled,IsCaseFeedEnabled,CaseSettings,,IsCaseFeedEnabled,__MISSING LABEL__ PropertyFile - val IsCaseFeedEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCaseFeedEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.IsCaseSwarmingEnabled,IsCaseSwarmingEnabled,CaseSettings,,IsCaseSwarmingEnabled,__MISSING LABEL__ PropertyFile - val IsCaseSwarmingEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCaseSwarmingEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.IsCollapseEmailThreadEnabled,IsCollapseEmailThreadEnabled,CaseSettings,,IsCollapseEmailThreadEnabled,__MISSING LABEL__ PropertyFile - val IsCollapseEmailThreadEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCollapseEmailThreadEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.IsDraftEmailsEnabled,IsDraftEmailsEnabled,CaseSettings,,IsDraftEmailsEnabled,__MISSING LABEL__ PropertyFile - val IsDraftEmailsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsDraftEmailsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.IsEarlyEscalationRuleTriggersEnabled,IsEarlyEscalationRuleTriggersEnabled,CaseSettings,,IsEarlyEscalationRuleTriggersEnabled,__MISSING LABEL__ PropertyFile - val IsEarlyEscalationRuleTriggersEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEarlyEscalationRuleTriggersEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.IsEmailActionDefaultsHandlerEnabled,IsEmailActionDefaultsHandlerEnabled,CaseSettings,,IsEmailActionDefaultsHandlerEnabled,__MISSING LABEL__ PropertyFile - val IsEmailActionDefaultsHandlerEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailActionDefaultsHandlerEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CaseSettings.IsEmailContactOnCasePostEnabled,IsEmailContactOnCasePostEnabled,CaseSettings,,IsEmailContactOnCasePostEnabled,__MISSING LABEL__ PropertyFile - val IsEmailContactOnCasePostEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailContactOnCasePostEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
