Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ChatterEmailsMDSettings.ExternalId,DurableId,ChatterEmailsMDSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.FullName,FullName,ChatterEmailsMDSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ChatterEmailsMDSettings.Id,Id,ChatterEmailsMDSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.IsChatterDigestEmailsApiOnlyEnabled,IsChatterDigestEmailsApiOnlyEnabled,ChatterEmailsMDSettings,,IsChatterDigestEmailsApiOnlyEnabled,__MISSING LABEL__ PropertyFile - val IsChatterDigestEmailsApiOnlyEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsChatterDigestEmailsApiOnlyEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.IsChatterEmailAttachmentEnabled,IsChatterEmailAttachmentEnabled,ChatterEmailsMDSettings,,IsChatterEmailAttachmentEnabled,__MISSING LABEL__ PropertyFile - val IsChatterEmailAttachmentEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsChatterEmailAttachmentEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.IsCollaborationEmailEnabled,IsCollaborationEmailEnabled,ChatterEmailsMDSettings,,IsCollaborationEmailEnabled,__MISSING LABEL__ PropertyFile - val IsCollaborationEmailEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCollaborationEmailEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.IsDisplayAppDownloadBadgesEnabled,IsDisplayAppDownloadBadgesEnabled,ChatterEmailsMDSettings,,IsDisplayAppDownloadBadgesEnabled,__MISSING LABEL__ PropertyFile - val IsDisplayAppDownloadBadgesEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsDisplayAppDownloadBadgesEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.IsEmailReplyToChatterEnabled,IsEmailReplyToChatterEnabled,ChatterEmailsMDSettings,,IsEmailReplyToChatterEnabled,__MISSING LABEL__ PropertyFile - val IsEmailReplyToChatterEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailReplyToChatterEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.IsEmailToChatterEnabled,IsEmailToChatterEnabled,ChatterEmailsMDSettings,,IsEmailToChatterEnabled,__MISSING LABEL__ PropertyFile - val IsEmailToChatterEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsEmailToChatterEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.Metadata,Metadata,ChatterEmailsMDSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,ChatterEmailsMDSettings.NoQnOwnNotifyOnCaseCmt,NoQnOwnNotifyOnCaseCmt,ChatterEmailsMDSettings,,NoQnOwnNotifyOnCaseCmt,__MISSING LABEL__ PropertyFile - val NoQnOwnNotifyOnCaseCmt not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val NoQnOwnNotifyOnCaseCmt not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.NoQnOwnNotifyOnRep,NoQnOwnNotifyOnRep,ChatterEmailsMDSettings,,NoQnOwnNotifyOnRep,__MISSING LABEL__ PropertyFile - val NoQnOwnNotifyOnRep not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val NoQnOwnNotifyOnRep not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.NoQnSubNotifyOnBestR,NoQnSubNotifyOnBestR,ChatterEmailsMDSettings,,NoQnSubNotifyOnBestR,__MISSING LABEL__ PropertyFile - val NoQnSubNotifyOnBestR not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val NoQnSubNotifyOnBestR not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterEmailsMDSettings.NoQnSubNotifyOnRep,NoQnSubNotifyOnRep,ChatterEmailsMDSettings,,NoQnSubNotifyOnRep,__MISSING LABEL__ PropertyFile - val NoQnSubNotifyOnRep not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val NoQnSubNotifyOnRep not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
