Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ChatterSettings.AllowChatterGroupArchiving,AllowChatterGroupArchiving,ChatterSettings,,AllowChatterGroupArchiving,__MISSING LABEL__ PropertyFile - val AllowChatterGroupArchiving not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val AllowChatterGroupArchiving not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.AllowRecordsInChatterGroup,AllowRecordsInChatterGroup,ChatterSettings,,AllowRecordsInChatterGroup,__MISSING LABEL__ PropertyFile - val AllowRecordsInChatterGroup not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val AllowRecordsInChatterGroup not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.ExternalId,DurableId,ChatterSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,ChatterSettings.FullName,FullName,ChatterSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ChatterSettings.Id,Id,ChatterSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsApprovalRequestEnabled,IsApprovalRequestEnabled,ChatterSettings,,IsApprovalRequestEnabled,__MISSING LABEL__ PropertyFile - val IsApprovalRequestEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsApprovalRequestEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsCaseFeedRelativeTimestampsEnabled,IsCaseFeedRelativeTimestampsEnabled,ChatterSettings,,IsCaseFeedRelativeTimestampsEnabled,__MISSING LABEL__ PropertyFile - val IsCaseFeedRelativeTimestampsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsCaseFeedRelativeTimestampsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsChatterEmoticonsEnabled,IsChatterEmoticonsEnabled,ChatterSettings,,IsChatterEmoticonsEnabled,__MISSING LABEL__ PropertyFile - val IsChatterEmoticonsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsChatterEmoticonsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsChatterEnabled,IsChatterEnabled,ChatterSettings,,IsChatterEnabled,__MISSING LABEL__ PropertyFile - val IsChatterEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsChatterEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsFeedEditEnabled,IsFeedEditEnabled,ChatterSettings,,IsFeedEditEnabled,__MISSING LABEL__ PropertyFile - val IsFeedEditEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsFeedEditEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsFeedPinningEnabled,IsFeedPinningEnabled,ChatterSettings,,IsFeedPinningEnabled,__MISSING LABEL__ PropertyFile - val IsFeedPinningEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsFeedPinningEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsFeedsDraftPostsEnabled,IsFeedsDraftPostsEnabled,ChatterSettings,,IsFeedsDraftPostsEnabled,__MISSING LABEL__ PropertyFile - val IsFeedsDraftPostsEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsFeedsDraftPostsEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsFeedsRichTextEnabled,IsFeedsRichTextEnabled,ChatterSettings,,IsFeedsRichTextEnabled,__MISSING LABEL__ PropertyFile - val IsFeedsRichTextEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsFeedsRichTextEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsInviteCsnUsersEnabled,IsInviteCsnUsersEnabled,ChatterSettings,,IsInviteCsnUsersEnabled,__MISSING LABEL__ PropertyFile - val IsInviteCsnUsersEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsInviteCsnUsersEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsOutOfOfficeEnabledPrefEnabled,IsOutOfOfficeEnabledPrefEnabled,ChatterSettings,,IsOutOfOfficeEnabledPrefEnabled,__MISSING LABEL__ PropertyFile - val IsOutOfOfficeEnabledPrefEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsOutOfOfficeEnabledPrefEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsRichLinkPreviewsInFeedEnabled,IsRichLinkPreviewsInFeedEnabled,ChatterSettings,,IsRichLinkPreviewsInFeedEnabled,__MISSING LABEL__ PropertyFile - val IsRichLinkPreviewsInFeedEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsRichLinkPreviewsInFeedEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChatterSettings.IsTodayRecsInFeedEnabled,IsTodayRecsInFeedEnabled,ChatterSettings,,IsTodayRecsInFeedEnabled,__MISSING LABEL__ PropertyFile - val IsTodayRecsInFeedEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsTodayRecsInFeedEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
