Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ChoiceList.CreatedBy,CreatedById,ChoiceList,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ChoiceList.CreatedDate,CreatedDate,ChoiceList,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ChoiceList.Description,Description,ChoiceList,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ChoiceList.DeveloperName,DeveloperName,ChoiceList,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,ChoiceList.Id,Id,ChoiceList,,Id,選択肢リスト ID,選択肢リスト ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ChoiceList.IsDeleted,IsDeleted,ChoiceList,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ChoiceList.Language,Language,ChoiceList,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,ChoiceList.LastModifiedBy,LastModifiedById,ChoiceList,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ChoiceList.LastModifiedDate,LastModifiedDate,ChoiceList,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ChoiceList.MasterLabel,MasterLabel,ChoiceList,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,ChoiceList.SystemModstamp,SystemModstamp,ChoiceList,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
