Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CombinedAttachment.ContentSize,ContentSize,CombinedAttachment,,ContentSize,コンテンツサイズ,コンテンツサイズ,数値(9、0),false,true,false,true,true,true
000000000000000AAA,CombinedAttachment.ContentSizeLong,ContentSizeLong,CombinedAttachment,,ContentSizeLong,コンテンツサイズ,コンテンツサイズ,数値(18、0),false,true,false,true,true,true
000000000000000AAA,CombinedAttachment.ContentUrl,ContentUrl,CombinedAttachment,,ContentUrl,コンテンツ URL,コンテンツ URL,URL(255),false,true,false,true,true,true
000000000000000AAA,CombinedAttachment.CreatedBy,CreatedById,CombinedAttachment,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CombinedAttachment.CreatedDate,CreatedDate,CombinedAttachment,,CreatedDate,作成,作成,日付/時間,false,false,false,true,false,true
000000000000000AAA,CombinedAttachment.ExternalDataSourceName,ExternalDataSourceName,CombinedAttachment,,ExternalDataSourceName,外部データソース,外部データソース,テキスト(80),false,true,false,true,true,true
000000000000000AAA,CombinedAttachment.ExternalDataSourceType,ExternalDataSourceType,CombinedAttachment,,ExternalDataSourceType,種別,種別,選択リスト(Apex クラス),false,true,false,true,true,true
000000000000000AAA,CombinedAttachment.FileExtension,FileExtension,CombinedAttachment,,FileExtension,ファイル拡張子,ファイル拡張子,テキスト(40),false,true,false,true,true,true
000000000000000AAA,CombinedAttachment.FileType,FileType,CombinedAttachment,,FileType,ファイルの種類,ファイルの種類,テキスト(30),false,true,false,true,true,true
000000000000000AAA,CombinedAttachment.Id,Id,CombinedAttachment,,Id,結合された添付ファイル ID,結合された添付ファイル ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,CombinedAttachment.IsDeleted,IsDeleted,CombinedAttachment,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CombinedAttachment.LastModifiedBy,LastModifiedById,CombinedAttachment,,LastModifiedBy,コンテンツ更新者,コンテンツ更新者,参照関係(ユーザー),false,false,false,true,true,true
