Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CommSubscriptionHistory.CommSubscription,CommSubscriptionId,CommSubscriptionHistory,,CommSubscription,コミュニケーション登録,コミュニケーション登録,参照関係(コミュニケーション登録),false,false,true,true,true,true
000000000000000AAA,CommSubscriptionHistory.CreatedBy,CreatedById,CommSubscriptionHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,CommSubscriptionHistory.CreatedDate,CreatedDate,CommSubscriptionHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,CommSubscriptionHistory.DataType,DataType,CommSubscriptionHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,CommSubscriptionHistory.Field,Field,CommSubscriptionHistory,,Field,変更された項目,変更された項目,"選択リスト(Custom Field Definitions,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,CommSubscriptionHistory.Id,Id,CommSubscriptionHistory,,Id,コミュニケーション登録の履歴 ID,コミュニケーション登録の履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CommSubscriptionHistory.IsDeleted,IsDeleted,CommSubscriptionHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CommSubscriptionHistory.NewvalDate,NewvalDate,CommSubscriptionHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,CommSubscriptionHistory.NewvalFirstName,NewvalFirstName,CommSubscriptionHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CommSubscriptionHistory.NewvalLastName,NewvalLastName,CommSubscriptionHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CommSubscriptionHistory.NewValue,NewValue,CommSubscriptionHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,CommSubscriptionHistory.OldvalDate,OldvalDate,CommSubscriptionHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,CommSubscriptionHistory.OldvalFirstName,OldvalFirstName,CommSubscriptionHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CommSubscriptionHistory.OldvalLastName,OldvalLastName,CommSubscriptionHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,CommSubscriptionHistory.OldValue,OldValue,CommSubscriptionHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
