Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CommSubscriptionTiming.CommSubscriptionConsent,CommSubscriptionConsentId,CommSubscriptionTiming,,CommSubscriptionConsent,コミュニケーション登録の同意,コミュニケーション登録の同意,主従関係(コミュニケーション登録の同意),false,false,true,true,true,true
000000000000000AAA,CommSubscriptionTiming.CreatedBy,CreatedById,CommSubscriptionTiming,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,CommSubscriptionTiming.CreatedDate,CreatedDate,CommSubscriptionTiming,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,CommSubscriptionTiming.Id,Id,CommSubscriptionTiming,,Id,コミュニケーション登録タイミング ID,コミュニケーション登録タイミング ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CommSubscriptionTiming.IsDeleted,IsDeleted,CommSubscriptionTiming,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CommSubscriptionTiming.LastModifiedBy,LastModifiedById,CommSubscriptionTiming,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CommSubscriptionTiming.LastModifiedDate,LastModifiedDate,CommSubscriptionTiming,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CommSubscriptionTiming.LastReferencedDate,LastReferencedDate,CommSubscriptionTiming,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,CommSubscriptionTiming.LastViewedDate,LastViewedDate,CommSubscriptionTiming,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,CommSubscriptionTiming.Name,Name,CommSubscriptionTiming,,Name,名前,名前,自動採番,false,false,true,true,false,true
000000000000000AAA,CommSubscriptionTiming.Offset,Offset,CommSubscriptionTiming,,Offset,オフセット,オフセット,数値(18、0),false,true,false,true,false,true
000000000000000AAA,CommSubscriptionTiming.PreferredTimeEnd,PreferredTimeEnd,CommSubscriptionTiming,,PreferredTimeEnd,希望終了時刻,希望終了時刻,時間,false,true,false,true,false,true
000000000000000AAA,CommSubscriptionTiming.PreferredTimeStart,PreferredTimeStart,CommSubscriptionTiming,,PreferredTimeStart,希望開始時刻,希望開始時刻,時間,false,true,false,true,false,true
000000000000000AAA,CommSubscriptionTiming.PreferredTimeZone,PreferredTimeZone,CommSubscriptionTiming,,PreferredTimeZone,希望タイムゾーン,希望タイムゾーン,選択リスト,false,true,false,true,true,true
000000000000000AAA,CommSubscriptionTiming.RecordVisibility,RecordVisibilityId,CommSubscriptionTiming,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,CommSubscriptionTiming.SystemModstamp,SystemModstamp,CommSubscriptionTiming,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,CommSubscriptionTiming.Unit,Unit,CommSubscriptionTiming,,Unit,単位,単位,選択リスト,false,false,false,true,true,true
000000000000000AAA,CommSubscriptionTiming.UserRecordAccess,UserRecordAccessId,CommSubscriptionTiming,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
