Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContactPointEmail.ActiveFromDate,ActiveFromDate,ContactPointEmail,,ActiveFromDate,有効化日,有効化日,日付,false,true,false,true,true,true
000000000000000AAA,ContactPointEmail.ActiveToDate,ActiveToDate,ContactPointEmail,,ActiveToDate,終了日,終了日,日付,false,true,false,true,true,true
000000000000000AAA,ContactPointEmail.BestTimeToContactEndTime,BestTimeToContactEndTime,ContactPointEmail,,BestTimeToContactEndTime,ご連絡可能な時間 (終了時間),ご連絡可能な時間 (終了時間),時間,false,true,false,true,false,true
000000000000000AAA,ContactPointEmail.BestTimeToContactStartTime,BestTimeToContactStartTime,ContactPointEmail,,BestTimeToContactStartTime,ご連絡可能な時間 (開始時間),ご連絡可能な時間 (開始時間),時間,false,true,false,true,false,true
000000000000000AAA,ContactPointEmail.BestTimeToContactTimezone,BestTimeToContactTimezone,ContactPointEmail,,BestTimeToContactTimezone,ご連絡可能な時間帯,ご連絡可能な時間帯,選択リスト,false,true,false,true,true,true
000000000000000AAA,ContactPointEmail.CreatedBy,CreatedById,ContactPointEmail,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ContactPointEmail.CreatedDate,CreatedDate,ContactPointEmail,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContactPointEmail.EmailAddress,EmailAddress,ContactPointEmail,,EmailAddress,メールアドレス,メールアドレス,メール,false,false,false,true,true,true
000000000000000AAA,ContactPointEmail.EmailDomain,EmailDomain,ContactPointEmail,,EmailDomain,メールドメイン,メールドメイン,テキスト(250),false,true,false,true,true,true
000000000000000AAA,ContactPointEmail.EmailLatestBounceDateTime,EmailLatestBounceDateTime,ContactPointEmail,,EmailLatestBounceDateTime,メールの最後のバウンス日時,メールの最後のバウンス日時,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContactPointEmail.EmailLatestBounceReasonText,EmailLatestBounceReasonText,ContactPointEmail,,EmailLatestBounceReasonText,メールの最後のバウンス理由テキスト,メールの最後のバウンス理由テキスト,テキスト(250),false,true,false,true,true,true
000000000000000AAA,ContactPointEmail.EmailMailBox,EmailMailBox,ContactPointEmail,,EmailMailBox,メールボックス,メールボックス,テキスト(250),false,true,false,true,true,true
000000000000000AAA,ContactPointEmail.Id,Id,ContactPointEmail,,Id,連絡先メール ID,連絡先メール ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ContactPointEmail.IsDeleted,IsDeleted,ContactPointEmail,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContactPointEmail.IsPrimary,IsPrimary,ContactPointEmail,,IsPrimary,主,主,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContactPointEmail.LastModifiedBy,LastModifiedById,ContactPointEmail,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ContactPointEmail.LastModifiedDate,LastModifiedDate,ContactPointEmail,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ContactPointEmail.LastReferencedDate,LastReferencedDate,ContactPointEmail,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContactPointEmail.LastViewedDate,LastViewedDate,ContactPointEmail,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContactPointEmail.Name,Name,ContactPointEmail,,Name,名前,名前,テキスト(255),false,true,true,true,true,true
000000000000000AAA,ContactPointEmail.Owner,OwnerId,ContactPointEmail,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,ContactPointEmail.Parent,ParentId,ContactPointEmail,,Parent,親,親,"主従関係(個人,取引先)",false,true,true,true,true,true
000000000000000AAA,ContactPointEmail.PreferenceRank,PreferenceRank,ContactPointEmail,,PreferenceRank,設定ランク,設定ランク,数値(9、0),false,true,false,true,true,true
000000000000000AAA,ContactPointEmail.RecordVisibility,RecordVisibilityId,ContactPointEmail,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ContactPointEmail.SystemModstamp,SystemModstamp,ContactPointEmail,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContactPointEmail.UsageType,UsageType,ContactPointEmail,,UsageType,利用状況の種別,利用状況の種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,ContactPointEmail.UserRecordAccess,UserRecordAccessId,ContactPointEmail,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
