Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContactPointPhoneChangeEvent.ActiveFromDate,ActiveFromDate,ContactPointPhoneChangeEvent,,ActiveFromDate,有効化日,有効化日,日付,false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.ActiveToDate,ActiveToDate,ContactPointPhoneChangeEvent,,ActiveToDate,終了日,終了日,日付,false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.AreaCode,AreaCode,ContactPointPhoneChangeEvent,,AreaCode,市外局番,市外局番,テキスト(30),false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.BestTimeToContactEndTime,BestTimeToContactEndTime,ContactPointPhoneChangeEvent,,BestTimeToContactEndTime,ご連絡可能な時間 (終了時間),ご連絡可能な時間 (終了時間),時間,false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.BestTimeToContactStartTime,BestTimeToContactStartTime,ContactPointPhoneChangeEvent,,BestTimeToContactStartTime,ご連絡可能な時間 (開始時間),ご連絡可能な時間 (開始時間),時間,false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.BestTimeToContactTimezone,BestTimeToContactTimezone,ContactPointPhoneChangeEvent,,BestTimeToContactTimezone,ご連絡可能な時間帯,ご連絡可能な時間帯,選択リスト,false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.ChangeEventHeader,ChangeEventHeader,ContactPointPhoneChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.CreatedBy,CreatedById,ContactPointPhoneChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.CreatedDate,CreatedDate,ContactPointPhoneChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.ExtensionNumber,ExtensionNumber,ContactPointPhoneChangeEvent,,ExtensionNumber,内線番号,内線番号,テキスト(30),false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.FormattedInternationalPhoneNumber,FormattedInternationalPhoneNumber,ContactPointPhoneChangeEvent,,FormattedInternationalPhoneNumber,形式設定済み国際電話番号,形式設定済み国際電話番号,テキスト(250),false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.FormattedNationalPhoneNumber,FormattedNationalPhoneNumber,ContactPointPhoneChangeEvent,,FormattedNationalPhoneNumber,形式設定済み国内電話番号,形式設定済み国内電話番号,テキスト(250),false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.IsBusinessPhone,IsBusinessPhone,ContactPointPhoneChangeEvent,,IsBusinessPhone,業務用電話,業務用電話,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.IsFaxCapable,IsFaxCapable,ContactPointPhoneChangeEvent,,IsFaxCapable,FAX 可能,FAX 可能,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.IsPersonalPhone,IsPersonalPhone,ContactPointPhoneChangeEvent,,IsPersonalPhone,個人電話,個人電話,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.IsPrimary,IsPrimary,ContactPointPhoneChangeEvent,,IsPrimary,主,主,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.IsSmsCapable,IsSmsCapable,ContactPointPhoneChangeEvent,,IsSmsCapable,SMS 可能,SMS 可能,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.LastModifiedBy,LastModifiedById,ContactPointPhoneChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.LastModifiedDate,LastModifiedDate,ContactPointPhoneChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.Name,Name,ContactPointPhoneChangeEvent,,Name,名前,名前,テキスト(255),false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.Owner,OwnerId,ContactPointPhoneChangeEvent,,Owner,所有者 氏名,所有者 氏名,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.Parent,ParentId,ContactPointPhoneChangeEvent,,Parent,親,親,"参照関係(個人,取引先)",false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.PhoneType,PhoneType,ContactPointPhoneChangeEvent,,PhoneType,電話種別,電話種別,選択リスト,false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.PreferenceRank,PreferenceRank,ContactPointPhoneChangeEvent,,PreferenceRank,設定ランク,設定ランク,数値(9、0),false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.TelephoneNumber,TelephoneNumber,ContactPointPhoneChangeEvent,,TelephoneNumber,電話番号,電話番号,電話,false,true,false,false,false,false
000000000000000AAA,ContactPointPhoneChangeEvent.UsageType,UsageType,ContactPointPhoneChangeEvent,,UsageType,利用状況の種別,利用状況の種別,選択リスト,false,true,false,false,false,false
