Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContactPointTypeConsent.BusinessBrand,BusinessBrandId,ContactPointTypeConsent,,BusinessBrand,ビジネスブランド,ビジネスブランド,参照関係(ビジネスブランド),false,true,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.CaptureContactPointType,CaptureContactPointType,ContactPointTypeConsent,,CaptureContactPointType,キャプチャする連絡先種別,キャプチャする連絡先種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.CaptureDate,CaptureDate,ContactPointTypeConsent,,CaptureDate,キャプチャ日,キャプチャ日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContactPointTypeConsent.CaptureSource,CaptureSource,ContactPointTypeConsent,,CaptureSource,キャプチャ元,キャプチャ元,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.ContactPointType,ContactPointType,ContactPointTypeConsent,,ContactPointType,連絡先種別,連絡先種別,選択リスト,false,true,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.CreatedBy,CreatedById,ContactPointTypeConsent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ContactPointTypeConsent.CreatedDate,CreatedDate,ContactPointTypeConsent,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContactPointTypeConsent.DataUsePurpose,DataUsePurposeId,ContactPointTypeConsent,,DataUsePurpose,データ使用目的,データ使用目的,参照関係(データ使用目的),false,true,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.DoubleConsentCaptureDate,DoubleConsentCaptureDate,ContactPointTypeConsent,,DoubleConsentCaptureDate,二重同意キャプチャ日,二重同意キャプチャ日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContactPointTypeConsent.EffectiveFrom,EffectiveFrom,ContactPointTypeConsent,,EffectiveFrom,有効開始日,有効開始日,日付/時間,false,true,true,true,false,true
000000000000000AAA,ContactPointTypeConsent.EffectiveTo,EffectiveTo,ContactPointTypeConsent,,EffectiveTo,有効終了日,有効終了日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContactPointTypeConsent.EngagementChannelType,EngagementChannelTypeId,ContactPointTypeConsent,,EngagementChannelType,エンゲージメントチャネル種別,エンゲージメントチャネル種別,参照関係(エンゲージメントチャネル種別),false,true,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.Id,Id,ContactPointTypeConsent,,Id,連絡先種別同意 ID,連絡先種別同意 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ContactPointTypeConsent.IsDeleted,IsDeleted,ContactPointTypeConsent,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.LastModifiedBy,LastModifiedById,ContactPointTypeConsent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.LastModifiedDate,LastModifiedDate,ContactPointTypeConsent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ContactPointTypeConsent.LastReferencedDate,LastReferencedDate,ContactPointTypeConsent,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContactPointTypeConsent.LastViewedDate,LastViewedDate,ContactPointTypeConsent,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,ContactPointTypeConsent.Name,Name,ContactPointTypeConsent,,Name,名前,名前,テキスト(255),false,false,true,true,true,true
000000000000000AAA,ContactPointTypeConsent.Owner,OwnerId,ContactPointTypeConsent,,Owner,所有者 氏名,所有者 氏名,"参照関係(ユーザー,グループ)",false,false,true,true,true,true
000000000000000AAA,ContactPointTypeConsent.Party,PartyId,ContactPointTypeConsent,,Party,関係者,関係者,参照関係(個人),false,false,true,true,true,true
000000000000000AAA,ContactPointTypeConsent.PartyRole,PartyRoleId,ContactPointTypeConsent,,PartyRole,関係者ロール,関係者ロール,"参照関係(顧客,販売業者)",false,true,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.PrivacyConsentStatus,PrivacyConsentStatus,ContactPointTypeConsent,,PrivacyConsentStatus,プライバシーに関する同意状況,プライバシーに関する同意状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.RecordVisibility,RecordVisibilityId,ContactPointTypeConsent,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ContactPointTypeConsent.SystemModstamp,SystemModstamp,ContactPointTypeConsent,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContactPointTypeConsent.UserRecordAccess,UserRecordAccessId,ContactPointTypeConsent,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
