Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContentDocumentChangeEvent.ArchivedBy,ArchivedById,ContentDocumentChangeEvent,,ArchivedBy,アーカイブ作成者,アーカイブ作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.ArchivedDate,ArchivedDate,ContentDocumentChangeEvent,,ArchivedDate,アーカイブ日,アーカイブ日,日付,false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.ChangeEventHeader,ChangeEventHeader,ContentDocumentChangeEvent,,ChangeEventHeader,変更イベントヘッダー,変更イベントヘッダー,複合値,false,false,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.ContentAsset,ContentAssetId,ContentDocumentChangeEvent,,ContentAsset,アセットファイルの詳細,アセットファイルの詳細,参照関係(アセットファイル),false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.ContentModifiedDate,ContentModifiedDate,ContentDocumentChangeEvent,,ContentModifiedDate,コンテンツ更新日,コンテンツ更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.ContentSizeLong,ContentSizeLong,ContentDocumentChangeEvent,,ContentSizeLong,サイズ,サイズ,数値(18、0),false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.CreatedBy,CreatedById,ContentDocumentChangeEvent,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.CreatedDate,CreatedDate,ContentDocumentChangeEvent,,CreatedDate,作成日,作成日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.IsArchived,IsArchived,ContentDocumentChangeEvent,,IsArchived,アーカイブ済み,アーカイブ済み,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.IsInternalOnly,IsInternalOnly,ContentDocumentChangeEvent,,IsInternalOnly,社内のみ,社内のみ,チェックボックス,false,false,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.LastModifiedBy,LastModifiedById,ContentDocumentChangeEvent,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.LastModifiedDate,LastModifiedDate,ContentDocumentChangeEvent,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.LatestPublishedVersion,LatestPublishedVersionId,ContentDocumentChangeEvent,,LatestPublishedVersion,最新の公開バージョン,最新の公開バージョン,参照関係(コンテンツバージョン),false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.MalwareScanDate,MalwareScanDate,ContentDocumentChangeEvent,,MalwareScanDate,マルウェアスキャン日,マルウェアスキャン日,日付/時間,false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.MalwareScanStatus,MalwareScanStatus,ContentDocumentChangeEvent,,MalwareScanStatus,マルウェアスキャン状況,マルウェアスキャン状況,選択リスト,false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.Owner,OwnerId,ContentDocumentChangeEvent,,Owner,所有者,所有者,参照関係(ユーザー),false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.Parent,ParentId,ContentDocumentChangeEvent,,Parent,参照先,参照先,参照関係(ライブラリ),false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.PublishStatus,PublishStatus,ContentDocumentChangeEvent,,PublishStatus,公開状況,公開状況,選択リスト,false,true,false,false,false,false
000000000000000AAA,ContentDocumentChangeEvent.Title,Title,ContentDocumentChangeEvent,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,false,false
