Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContentTaxonomyRelatedTerm.ContentTaxonomy,ContentTaxonomyId,ContentTaxonomyRelatedTerm,,ContentTaxonomy,コンテンツタクソノミー,コンテンツタクソノミー,参照関係(コンテンツタクソノミー),false,false,true,true,true,true
000000000000000AAA,ContentTaxonomyRelatedTerm.ContentTaxonomyTerm,ContentTaxonomyTermId,ContentTaxonomyRelatedTerm,,ContentTaxonomyTerm,コンテンツタクソノミー用語,コンテンツタクソノミー用語,参照関係(コンテンツタクソノミー用語),false,false,true,true,true,true
000000000000000AAA,ContentTaxonomyRelatedTerm.CreatedBy,CreatedById,ContentTaxonomyRelatedTerm,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ContentTaxonomyRelatedTerm.CreatedDate,CreatedDate,ContentTaxonomyRelatedTerm,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContentTaxonomyRelatedTerm.Id,Id,ContentTaxonomyRelatedTerm,,Id,コンテンツタクソノミー関連用語 ID,コンテンツタクソノミー関連用語 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ContentTaxonomyRelatedTerm.IsDeleted,IsDeleted,ContentTaxonomyRelatedTerm,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContentTaxonomyRelatedTerm.LastModifiedBy,LastModifiedById,ContentTaxonomyRelatedTerm,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ContentTaxonomyRelatedTerm.LastModifiedDate,LastModifiedDate,ContentTaxonomyRelatedTerm,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ContentTaxonomyRelatedTerm.RecordVisibility,RecordVisibilityId,ContentTaxonomyRelatedTerm,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ContentTaxonomyRelatedTerm.SystemModstamp,SystemModstamp,ContentTaxonomyRelatedTerm,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContentTaxonomyRelatedTerm.UserRecordAccess,UserRecordAccessId,ContentTaxonomyRelatedTerm,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
