Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContentTaxonomyTermRelationshipType.ContentTaxonomyTrmRelaCatg,ContentTaxonomyTrmRelaCatg,ContentTaxonomyTermRelationshipType,,ContentTaxonomyTrmRelaCatg,コンテンツ分類用語リレーションカテゴリ,コンテンツ分類用語リレーションカテゴリ,選択リスト,false,false,false,true,true,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.CreatedBy,CreatedById,ContentTaxonomyTermRelationshipType,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.CreatedDate,CreatedDate,ContentTaxonomyTermRelationshipType,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.Description,Description,ContentTaxonomyTermRelationshipType,,Description,説明,説明,テキストエリア(255),false,true,false,true,true,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.Id,Id,ContentTaxonomyTermRelationshipType,,Id,コンテンツ分類用語リレーション種別 ID,コンテンツ分類用語リレーション種別 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.IsDeleted,IsDeleted,ContentTaxonomyTermRelationshipType,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.LastModifiedBy,LastModifiedById,ContentTaxonomyTermRelationshipType,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.LastModifiedDate,LastModifiedDate,ContentTaxonomyTermRelationshipType,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.Name,Name,ContentTaxonomyTermRelationshipType,,Name,コンテンツ分類用語リレーション種別名,コンテンツ分類用語リレーション種別名,テキスト(255),false,false,true,true,true,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.RecordVisibility,RecordVisibilityId,ContentTaxonomyTermRelationshipType,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.SystemModstamp,SystemModstamp,ContentTaxonomyTermRelationshipType,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContentTaxonomyTermRelationshipType.UserRecordAccess,UserRecordAccessId,ContentTaxonomyTermRelationshipType,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
