Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContentWorkspacePermission.CreatedBy,CreatedById,ContentWorkspacePermission,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ContentWorkspacePermission.CreatedDate,CreatedDate,ContentWorkspacePermission,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ContentWorkspacePermission.Description,Description,ContentWorkspacePermission,,Description,説明,説明,テキストエリア(2000),false,true,false,true,false,true
000000000000000AAA,ContentWorkspacePermission.Id,Id,ContentWorkspacePermission,,Id,ライブラリ権限 ID,ライブラリ権限 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ContentWorkspacePermission.LastModifiedBy,LastModifiedById,ContentWorkspacePermission,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ContentWorkspacePermission.LastModifiedDate,LastModifiedDate,ContentWorkspacePermission,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ContentWorkspacePermission.Name,Name,ContentWorkspacePermission,,Name,名前,名前,テキスト(255),false,false,false,true,true,true
000000000000000AAA,ContentWorkspacePermission.Permissions,Permissions,ContentWorkspacePermission,,Permissions,__MISSING LABEL__ PropertyFile - val Permissions not found in section udd_ContentWorkspacePermission,__MISSING LABEL__ PropertyFile - val Permissions not found in section udd_ContentWorkspacePermission,ビットベクター,false,false,false,true,false,false
000000000000000AAA,ContentWorkspacePermission.SystemModstamp,SystemModstamp,ContentWorkspacePermission,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContentWorkspacePermission.Type,Type,ContentWorkspacePermission,,Type,種別,種別,選択リスト,false,true,false,true,true,true
