Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContractFeed.BestComment,BestCommentId,ContractFeed,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,ContractFeed.Body,Body,ContractFeed,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,ContractFeed.CommentCount,CommentCount,ContractFeed,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ContractFeed.CreatedBy,CreatedById,ContractFeed,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,ContractFeed.CreatedDate,CreatedDate,ContractFeed,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ContractFeed.Id,Id,ContractFeed,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ContractFeed.InsertedBy,InsertedById,ContractFeed,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,true,false,false,true,true
000000000000000AAA,ContractFeed.IsDeleted,IsDeleted,ContractFeed,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContractFeed.IsRichText,IsRichText,ContractFeed,,IsRichText,リッチテキスト,リッチテキスト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContractFeed.LastModifiedDate,LastModifiedDate,ContractFeed,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ContractFeed.LikeCount,LikeCount,ContractFeed,,LikeCount,いいね! の数,いいね! の数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ContractFeed.LinkUrl,LinkUrl,ContractFeed,,LinkUrl,リンク URL,リンク URL,URL(1000),false,true,false,false,false,true
000000000000000AAA,ContractFeed.Parent,ParentId,ContractFeed,,Parent,親,親,参照関係(契約),false,false,true,true,true,true
000000000000000AAA,ContractFeed.RelatedRecord,RelatedRecordId,ContractFeed,,RelatedRecord,関連レコード,関連レコード,"参照関係(コンテンツバージョン,キャンバスフィード項目)",false,true,false,false,true,true
000000000000000AAA,ContractFeed.SystemModstamp,SystemModstamp,ContractFeed,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ContractFeed.Title,Title,ContractFeed,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,true,true
000000000000000AAA,ContractFeed.Type,Type,ContractFeed,,Type,フィード項目種別,フィード項目種別,選択リスト,false,true,false,true,true,true
