Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ContractSettings.AutoCalculateEndDate,AutoCalculateEndDate,ContractSettings,,AutoCalculateEndDate,__MISSING LABEL__ PropertyFile - val AutoCalculateEndDate not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val AutoCalculateEndDate not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContractSettings.AutoExpirationDelay,AutoExpirationDelay,ContractSettings,,AutoExpirationDelay,__MISSING LABEL__ PropertyFile - val AutoExpirationDelay not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val AutoExpirationDelay not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ContractSettings.AutoExpirationRecipient,AutoExpirationRecipient,ContractSettings,,AutoExpirationRecipient,__MISSING LABEL__ PropertyFile - val AutoExpirationRecipient not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val AutoExpirationRecipient not found in section udd_SettingsTemplate,テキスト(255),false,true,false,true,true,true
000000000000000AAA,ContractSettings.AutoExpireContracts,AutoExpireContracts,ContractSettings,,AutoExpireContracts,__MISSING LABEL__ PropertyFile - val AutoExpireContracts not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val AutoExpireContracts not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContractSettings.ExternalId,DurableId,ContractSettings,,ExternalId,設定テンプレート外部 ID,設定テンプレート外部 ID,外部参照,false,true,false,true,true,true
000000000000000AAA,ContractSettings.FullName,FullName,ContractSettings,,FullName,氏名,氏名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,ContractSettings.Id,Id,ContractSettings,,Id,設定テンプレート ID,設定テンプレート ID,参照関係(),false,false,false,true,true,true
000000000000000AAA,ContractSettings.IsContractHistoryTrackingEnabled,IsContractHistoryTrackingEnabled,ContractSettings,,IsContractHistoryTrackingEnabled,__MISSING LABEL__ PropertyFile - val IsContractHistoryTrackingEnabled not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val IsContractHistoryTrackingEnabled not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ContractSettings.Metadata,Metadata,ContractSettings,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,ContractSettings.NotifyOwnersOnContractExpiration,NotifyOwnersOnContractExpiration,ContractSettings,,NotifyOwnersOnContractExpiration,__MISSING LABEL__ PropertyFile - val NotifyOwnersOnContractExpiration not found in section udd_SettingsTemplate,__MISSING LABEL__ PropertyFile - val NotifyOwnersOnContractExpiration not found in section udd_SettingsTemplate,チェックボックス,false,false,false,true,true,true
