Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ConversationMessageConstantValueLocalization.CreatedBy,CreatedById,ConversationMessageConstantValueLocalization,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ConversationMessageConstantValueLocalization.CreatedDate,CreatedDate,ConversationMessageConstantValueLocalization,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ConversationMessageConstantValueLocalization.Id,Id,ConversationMessageConstantValueLocalization,,Id,翻訳 ID,翻訳 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ConversationMessageConstantValueLocalization.Language,Language,ConversationMessageConstantValueLocalization,,Language,言語,言語,選択リスト,false,false,true,true,true,true
000000000000000AAA,ConversationMessageConstantValueLocalization.LastModifiedBy,LastModifiedById,ConversationMessageConstantValueLocalization,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ConversationMessageConstantValueLocalization.LastModifiedDate,LastModifiedDate,ConversationMessageConstantValueLocalization,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ConversationMessageConstantValueLocalization.ManageableState,ManageableState,ConversationMessageConstantValueLocalization,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ConversationMessageConstantValueLocalization.NamespacePrefix,NamespacePrefix,ConversationMessageConstantValueLocalization,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,ConversationMessageConstantValueLocalization.Parent,ParentId,ConversationMessageConstantValueLocalization,,Parent,親,親,参照関係(会話メッセージ定数値),false,false,true,true,true,true
000000000000000AAA,ConversationMessageConstantValueLocalization.SystemModstamp,SystemModstamp,ConversationMessageConstantValueLocalization,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,ConversationMessageConstantValueLocalization.Value,Value,ConversationMessageConstantValueLocalization,,Value,翻訳テキスト,翻訳テキスト,ロングテキストエリア(32000),false,false,false,true,false,true
