Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,ConversationMessageLayout.CreatedBy,CreatedById,ConversationMessageLayout,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ConversationMessageLayout.CreatedDate,CreatedDate,ConversationMessageLayout,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ConversationMessageLayout.FormatType,FormatType,ConversationMessageLayout,,FormatType,形式種別,形式種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,ConversationMessageLayout.Id,Id,ConversationMessageLayout,,Id,会話メッセージレイアウト ID,会話メッセージレイアウト ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,ConversationMessageLayout.IsDeleted,IsDeleted,ConversationMessageLayout,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,ConversationMessageLayout.LastModifiedBy,LastModifiedById,ConversationMessageLayout,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,ConversationMessageLayout.LastModifiedDate,LastModifiedDate,ConversationMessageLayout,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,ConversationMessageLayout.LayoutVariant,LayoutVariant,ConversationMessageLayout,,LayoutVariant,レイアウトバリエーション,レイアウトバリエーション,選択リスト,false,true,false,true,true,true
000000000000000AAA,ConversationMessageLayout.ManageableState,ManageableState,ConversationMessageLayout,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,ConversationMessageLayout.MessageType,MessageType,ConversationMessageLayout,,MessageType,メッセージ種別,メッセージ種別,選択リスト,false,false,false,true,true,true
000000000000000AAA,ConversationMessageLayout.Parent,ParentId,ConversationMessageLayout,,Parent,親,親,主従関係(メッセージングコンポーネント),false,false,true,true,true,true
000000000000000AAA,ConversationMessageLayout.SortOrder,SortOrder,ConversationMessageLayout,,SortOrder,並び替え順,並び替え順,数値(9、0),false,false,false,true,true,true
000000000000000AAA,ConversationMessageLayout.SystemModstamp,SystemModstamp,ConversationMessageLayout,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
