Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CopyImportChunk2.ChunkIndex,ChunkIndex,CopyImportChunk2,,ChunkIndex,Chunk Index,Chunk Index,数値(9、0),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.CopyEntityTally,CopyEntityTallyId,CopyImportChunk2,,CopyEntityTally,Copy Entity Tally,Copy Entity Tally,参照関係(Copy Entity Tally),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.CopyExportChunk,CopyExportChunkId,CopyImportChunk2,,CopyExportChunk,Export Chunk,Export Chunk,参照関係(Export Chunk),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.CopyImport,CopyImportId,CopyImportChunk2,,CopyImport,Copy Imports,Copy Imports,参照関係(Copy Imports),false,false,true,true,true,true
000000000000000AAA,CopyImportChunk2.CreatedBy,CreatedById,CopyImportChunk2,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.CreatedDate,CreatedDate,CopyImportChunk2,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CopyImportChunk2.Duration,Duration,CopyImportChunk2,,Duration,Duration,Duration,数値(9、0),false,true,false,true,true,true
000000000000000AAA,CopyImportChunk2.EntityName,EntityName,CopyImportChunk2,,EntityName,Entity Name,Entity Name,テキスト(100),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.ErrorMessage,ErrorMessage,CopyImportChunk2,,ErrorMessage,Error Message,Error Message,ロングテキストエリア(4000),false,true,false,false,false,false
000000000000000AAA,CopyImportChunk2.FfxLoc,FfxLoc,CopyImportChunk2,,FfxLoc,Ffx Loc,Ffx Loc,テキスト(3),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.FfxVer,FfxVer,CopyImportChunk2,,FfxVer,Ffx Ver,Ffx Ver,テキスト(15),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.FullTableName,FullTableName,CopyImportChunk2,,FullTableName,Full Table Name,Full Table Name,テキスト(100),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.Id,Id,CopyImportChunk2,,Id,Import Chunk ID,Import Chunk ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CopyImportChunk2.ImportTally,ImportTally,CopyImportChunk2,,ImportTally,ImportTally,ImportTally,数式 (テキスト),true,true,true,true,true,true
000000000000000AAA,CopyImportChunk2.IsDeleted,IsDeleted,CopyImportChunk2,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.LastModifiedBy,LastModifiedById,CopyImportChunk2,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.LastModifiedDate,LastModifiedDate,CopyImportChunk2,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CopyImportChunk2.RowCount,RowCount,CopyImportChunk2,,RowCount,Rows Count,Rows Count,数値(9、0),false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.StartDate,StartDate,CopyImportChunk2,,StartDate,開始日,開始日,日付/時間,false,true,false,true,false,true
000000000000000AAA,CopyImportChunk2.Status,Status,CopyImportChunk2,,Status,Status,Status,選択リスト,false,false,false,true,true,true
000000000000000AAA,CopyImportChunk2.SystemModstamp,SystemModstamp,CopyImportChunk2,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,CopyImportChunk2.UniqueIndex,UniqueIndex,CopyImportChunk2,,UniqueIndex,Unique Index,Unique Index,数式 (テキスト),true,true,false,true,true,true
