Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CreditMemoInvApplicationFeed.BestComment,BestCommentId,CreditMemoInvApplicationFeed,,BestComment,最良のコメント,最良のコメント,参照関係(フィードコメント),false,true,false,true,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.Body,Body,CreditMemoInvApplicationFeed,,Body,内容,内容,ロングテキストエリア(10000),false,true,false,false,false,true
000000000000000AAA,CreditMemoInvApplicationFeed.CommentCount,CommentCount,CreditMemoInvApplicationFeed,,CommentCount,コメント数,コメント数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.CreatedBy,CreatedById,CreditMemoInvApplicationFeed,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.CreatedDate,CreatedDate,CreditMemoInvApplicationFeed,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CreditMemoInvApplicationFeed.Id,Id,CreditMemoInvApplicationFeed,,Id,フィード項目 ID,フィード項目 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.InsertedBy,InsertedById,CreditMemoInvApplicationFeed,,InsertedBy,挿入者,挿入者,参照関係(ユーザー),false,true,false,false,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.IsDeleted,IsDeleted,CreditMemoInvApplicationFeed,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.IsRichText,IsRichText,CreditMemoInvApplicationFeed,,IsRichText,リッチテキスト,リッチテキスト,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.LastModifiedDate,LastModifiedDate,CreditMemoInvApplicationFeed,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CreditMemoInvApplicationFeed.LikeCount,LikeCount,CreditMemoInvApplicationFeed,,LikeCount,いいね! の数,いいね! の数,数値(9、0),false,false,false,true,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.LinkUrl,LinkUrl,CreditMemoInvApplicationFeed,,LinkUrl,リンク URL,リンク URL,URL(1000),false,true,false,false,false,true
000000000000000AAA,CreditMemoInvApplicationFeed.Parent,ParentId,CreditMemoInvApplicationFeed,,Parent,親,親,参照関係(クレジットメモ請求書アプリケーション),false,false,true,true,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.RelatedRecord,RelatedRecordId,CreditMemoInvApplicationFeed,,RelatedRecord,関連レコード,関連レコード,"参照関係(コンテンツバージョン,キャンバスフィード項目)",false,true,false,false,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.SystemModstamp,SystemModstamp,CreditMemoInvApplicationFeed,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,CreditMemoInvApplicationFeed.Title,Title,CreditMemoInvApplicationFeed,,Title,タイトル,タイトル,テキスト(255),false,true,false,false,true,true
000000000000000AAA,CreditMemoInvApplicationFeed.Type,Type,CreditMemoInvApplicationFeed,,Type,フィード項目種別,フィード項目種別,選択リスト,false,true,false,true,true,true
