Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,CustomMsgChannel.ChannelDefinition,ChannelDefinitionId,CustomMsgChannel,,ChannelDefinition,会話チャネルのチャネル定義,会話チャネルのチャネル定義,参照関係(会話チャネル定義),false,false,false,true,true,true
000000000000000AAA,CustomMsgChannel.CreatedBy,CreatedById,CustomMsgChannel,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CustomMsgChannel.CreatedDate,CreatedDate,CustomMsgChannel,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CustomMsgChannel.EventCapabilities,EventCapabilities,CustomMsgChannel,,EventCapabilities,__MISSING LABEL__ PropertyFile - val EventCapabilities not found in section udd_CustomMsgChannel,__MISSING LABEL__ PropertyFile - val EventCapabilities not found in section udd_CustomMsgChannel,ビットベクター,false,false,false,true,false,false
000000000000000AAA,CustomMsgChannel.Id,Id,CustomMsgChannel,,Id,カスタムメッセージングチャネル ID,カスタムメッセージングチャネル ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,CustomMsgChannel.IsDeleted,IsDeleted,CustomMsgChannel,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,CustomMsgChannel.LastModifiedBy,LastModifiedById,CustomMsgChannel,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,CustomMsgChannel.LastModifiedDate,LastModifiedDate,CustomMsgChannel,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,CustomMsgChannel.MessagingChannel,MessagingChannelId,CustomMsgChannel,,MessagingChannel,メッセージングチャネル,メッセージングチャネル,参照関係(メッセージングチャネル)  (ユニーク),false,false,true,true,true,true
000000000000000AAA,CustomMsgChannel.SystemModstamp,SystemModstamp,CustomMsgChannel,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
