Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,Dashboard.BackgroundDirection,BackgroundDirection,Dashboard,,BackgroundDirection,背景グラデーションの向き,背景グラデーションの向き,選択リスト,false,false,false,true,true,true
000000000000000AAA,Dashboard.BackgroundEnd,BackgroundEnd,Dashboard,,BackgroundEnd,終了の色,終了の色,数値(9、0),false,false,false,true,true,true
000000000000000AAA,Dashboard.BackgroundStart,BackgroundStart,Dashboard,,BackgroundStart,開始の色,開始の色,数値(9、0),false,false,false,true,true,true
000000000000000AAA,Dashboard.ChartTheme,ChartTheme,Dashboard,,ChartTheme,グラフの背景,グラフの背景,選択リスト,false,true,false,true,true,true
000000000000000AAA,Dashboard.ColorPalette,ColorPalette,Dashboard,,ColorPalette,カラーパレット,カラーパレット,選択リスト,false,true,false,true,true,true
000000000000000AAA,Dashboard.CreatedBy,CreatedById,Dashboard,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,Dashboard.CreatedDate,CreatedDate,Dashboard,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Dashboard.DashboardResultRefreshedDate,DashboardResultRefreshedDate,Dashboard,,DashboardResultRefreshedDate,このユーザーの最終更新日,このユーザーの最終更新日,テキスト(256),false,true,false,false,false,false
000000000000000AAA,Dashboard.DashboardResultRunningUser,DashboardResultRunningUser,Dashboard,,DashboardResultRunningUser,別名で実行,別名で実行,テキスト(256),false,true,false,false,false,false
000000000000000AAA,Dashboard.Description,Description,Dashboard,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,Dashboard.DeveloperName,DeveloperName,Dashboard,,DeveloperName,ダッシュボードの一意の名前,ダッシュボードの一意の名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,Dashboard.Folder,FolderId,Dashboard,,Folder,フォルダー,フォルダー,"参照関係(フォルダー,ユーザー)",false,false,true,true,true,true
000000000000000AAA,Dashboard.FolderName,FolderName,Dashboard,,FolderName,フォルダー名,フォルダー名,テキスト(256),false,true,false,true,false,true
000000000000000AAA,Dashboard.Id,Id,Dashboard,,Id,ダッシュボード ID,ダッシュボード ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,Dashboard.IsDeleted,IsDeleted,Dashboard,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,Dashboard.LastModifiedBy,LastModifiedById,Dashboard,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Dashboard.LastModifiedDate,LastModifiedDate,Dashboard,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,Dashboard.LastReferencedDate,LastReferencedDate,Dashboard,,LastReferencedDate,最終参照日,最終参照日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Dashboard.LastViewedDate,LastViewedDate,Dashboard,,LastViewedDate,最終閲覧日,最終閲覧日,日付/時間,false,true,false,true,false,true
000000000000000AAA,Dashboard.LeftSize,LeftSize,Dashboard,,LeftSize,左サイズ,左サイズ,選択リスト,false,false,false,true,true,true
000000000000000AAA,Dashboard.ManageableState,ManageableState,Dashboard,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,Dashboard.MiddleSize,MiddleSize,Dashboard,,MiddleSize,中央サイズ,中央サイズ,選択リスト,false,true,false,true,true,true
000000000000000AAA,Dashboard.NamespacePrefix,NamespacePrefix,Dashboard,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,Dashboard.Owner,OwnerId,Dashboard,,Owner,所有者 氏名,所有者 氏名,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Dashboard.RightSize,RightSize,Dashboard,,RightSize,右サイズ,右サイズ,選択リスト,false,false,false,true,true,true
000000000000000AAA,Dashboard.RunningUser,RunningUserId,Dashboard,,RunningUser,実行ユーザー,実行ユーザー,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,Dashboard.SystemModstamp,SystemModstamp,Dashboard,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,Dashboard.TextColor,TextColor,Dashboard,,TextColor,テキストの色,テキストの色,数値(9、0),false,false,false,true,true,true
000000000000000AAA,Dashboard.Title,Title,Dashboard,,Title,タイトル,タイトル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,Dashboard.TitleColor,TitleColor,Dashboard,,TitleColor,タイトルの色,タイトルの色,数値(9、0),false,false,false,true,true,true
000000000000000AAA,Dashboard.TitleSize,TitleSize,Dashboard,,TitleSize,タイトルサイズ,タイトルサイズ,数値(9、0),false,false,false,true,true,true
000000000000000AAA,Dashboard.Type,Type,Dashboard,,Type,ダッシュボード実行ユーザー,ダッシュボード実行ユーザー,選択リスト,false,false,true,true,true,true
