Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataActionHistory.CreatedBy,CreatedById,DataActionHistory,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DataActionHistory.CreatedDate,CreatedDate,DataActionHistory,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataActionHistory.DataAction,DataActionId,DataActionHistory,,DataAction,データアクション,データアクション,参照関係(データアクション),false,false,true,true,true,true
000000000000000AAA,DataActionHistory.DataType,DataType,DataActionHistory,,DataType,データ型,データ型,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataActionHistory.Field,Field,DataActionHistory,,Field,変更された項目,変更された項目,"選択リスト(Custom Field Definitions,カスタム項目データ列)",false,false,true,true,true,true
000000000000000AAA,DataActionHistory.Id,Id,DataActionHistory,,Id,データアクション履歴 ID,データアクション履歴 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataActionHistory.IsDeleted,IsDeleted,DataActionHistory,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataActionHistory.NewvalDate,NewvalDate,DataActionHistory,,NewvalDate,新規の日付,新規の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataActionHistory.NewvalFirstName,NewvalFirstName,DataActionHistory,,NewvalFirstName,新規の名,新規の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataActionHistory.NewvalLastName,NewvalLastName,DataActionHistory,,NewvalLastName,新規の姓,新規の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataActionHistory.NewValue,NewValue,DataActionHistory,,NewValue,新しい値,新しい値,参照関係,false,true,false,false,false,true
000000000000000AAA,DataActionHistory.OldvalDate,OldvalDate,DataActionHistory,,OldvalDate,元の日付,元の日付,日付/時間,false,true,false,true,false,true
000000000000000AAA,DataActionHistory.OldvalFirstName,OldvalFirstName,DataActionHistory,,OldvalFirstName,元の名,元の名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataActionHistory.OldvalLastName,OldvalLastName,DataActionHistory,,OldvalLastName,元の姓,元の姓,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataActionHistory.OldValue,OldValue,DataActionHistory,,OldValue,元の値,元の値,参照関係,false,true,false,false,false,true
