Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataCategoryLocalization.CreatedBy,CreatedById,DataCategoryLocalization,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataCategoryLocalization.CreatedDate,CreatedDate,DataCategoryLocalization,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataCategoryLocalization.Id,Id,DataCategoryLocalization,,Id,翻訳 ID,翻訳 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataCategoryLocalization.Language,Language,DataCategoryLocalization,,Language,言語,言語,選択リスト,false,false,true,true,true,true
000000000000000AAA,DataCategoryLocalization.LastModifiedBy,LastModifiedById,DataCategoryLocalization,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataCategoryLocalization.LastModifiedDate,LastModifiedDate,DataCategoryLocalization,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataCategoryLocalization.ManageableState,ManageableState,DataCategoryLocalization,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataCategoryLocalization.NamespacePrefix,NamespacePrefix,DataCategoryLocalization,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,DataCategoryLocalization.Parent,ParentId,DataCategoryLocalization,,Parent,親,親,参照関係(データカテゴリ),false,false,true,true,true,true
000000000000000AAA,DataCategoryLocalization.SystemModstamp,SystemModstamp,DataCategoryLocalization,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataCategoryLocalization.Value,Value,DataCategoryLocalization,,Value,翻訳テキスト,翻訳テキスト,ロングテキストエリア(32000),false,false,false,true,false,true
