Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataKnowledgeGraph.CreatedBy,CreatedById,DataKnowledgeGraph,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,true,true,true,true
000000000000000AAA,DataKnowledgeGraph.CreatedDate,CreatedDate,DataKnowledgeGraph,,CreatedDate,作成日,作成日,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataKnowledgeGraph.DataKnowledgeGraphApiName,DataKnowledgeGraphApiName,DataKnowledgeGraph,,DataKnowledgeGraphApiName,データナレッジグラフ API 参照名,データナレッジグラフ API 参照名,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.DataKnowledgeGraphDef,DataKnowledgeGraphDefId,DataKnowledgeGraph,,DataKnowledgeGraphDef,データナレッジグラフ定義,データナレッジグラフ定義,参照関係(データナレッジグラフ定義),false,false,true,true,true,true
000000000000000AAA,DataKnowledgeGraph.DeductionSourceDmo,DeductionSourceDmo,DataKnowledgeGraph,,DeductionSourceDmo,控除ソース DMO,控除ソース DMO,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.Description,Description,DataKnowledgeGraph,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.Domain,Domain,DataKnowledgeGraph,,Domain,ドメイン,ドメイン,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.EdgeDmo,EdgeDmo,DataKnowledgeGraph,,EdgeDmo,エッジ DMO,エッジ DMO,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.GraphDefVersion,GraphDefVersion,DataKnowledgeGraph,,GraphDefVersion,ナレッジグラフ定義バージョン,ナレッジグラフ定義バージョン,数値(9、0),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.Id,Id,DataKnowledgeGraph,,Id,ナレッジグラフ ID,ナレッジグラフ ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataKnowledgeGraph.IsDeleted,IsDeleted,DataKnowledgeGraph,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.LastModifiedBy,LastModifiedById,DataKnowledgeGraph,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.LastModifiedDate,LastModifiedDate,DataKnowledgeGraph,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataKnowledgeGraph.LastRunStatus,LastRunStatus,DataKnowledgeGraph,,LastRunStatus,最終実行状況,最終実行状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.Name,Name,DataKnowledgeGraph,,Name,名前,名前,テキスト(255),false,false,true,true,true,true
000000000000000AAA,DataKnowledgeGraph.NodeDmo,NodeDmo,DataKnowledgeGraph,,NodeDmo,ノード DMO,ノード DMO,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.OffCoreSyncStatus,OffCoreSyncStatus,DataKnowledgeGraph,,OffCoreSyncStatus,オフコア同期状況,オフコア同期状況,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.PropertiesDmo,PropertiesDmo,DataKnowledgeGraph,,PropertiesDmo,プロパティ DMO,プロパティ DMO,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.RecordVisibility,RecordVisibilityId,DataKnowledgeGraph,,RecordVisibility,レコードの表示,レコードの表示,参照関係(レコードの表示),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.SubDomain,SubDomain,DataKnowledgeGraph,,SubDomain,サブドメイン,サブドメイン,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnowledgeGraph.SystemModstamp,SystemModstamp,DataKnowledgeGraph,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataKnowledgeGraph.UserRecordAccess,UserRecordAccessId,DataKnowledgeGraph,,UserRecordAccess,オブジェクトアクセスレベル,オブジェクトアクセスレベル,参照関係(ユーザーレコードアクセス),false,true,false,true,true,true
