Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataKnwlgGrphEdgeDef.CreatedBy,CreatedById,DataKnwlgGrphEdgeDef,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.CreatedDate,CreatedDate,DataKnwlgGrphEdgeDef,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataKnwlgGrphEdgeDef.Description,Description,DataKnwlgGrphEdgeDef,,Description,説明,説明,テキスト(255),false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.DeveloperName,DeveloperName,DataKnwlgGrphEdgeDef,,DeveloperName,ナレッジグラフエッジ定義 API 参照名,ナレッジグラフエッジ定義 API 参照名,テキスト(80),false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.FromNodeType,FromNodeTypeId,DataKnwlgGrphEdgeDef,,FromNodeType,開始ノード種別,開始ノード種別,参照関係(データナレッジグラフノード定義),false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.Id,Id,DataKnwlgGrphEdgeDef,,Id,データナレッジグラフエッジ定義 ID,データナレッジグラフエッジ定義 ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.IsDeleted,IsDeleted,DataKnwlgGrphEdgeDef,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.KnowledgeGraph,KnowledgeGraphId,DataKnwlgGrphEdgeDef,,KnowledgeGraph,ナレッジグラフ,ナレッジグラフ,参照関係(データナレッジグラフ定義),false,true,true,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.Language,Language,DataKnwlgGrphEdgeDef,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.LastModifiedBy,LastModifiedById,DataKnwlgGrphEdgeDef,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.LastModifiedDate,LastModifiedDate,DataKnwlgGrphEdgeDef,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataKnwlgGrphEdgeDef.ManageableState,ManageableState,DataKnwlgGrphEdgeDef,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.MasterLabel,MasterLabel,DataKnwlgGrphEdgeDef,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.NamespacePrefix,NamespacePrefix,DataKnwlgGrphEdgeDef,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.SobjectType,DataKnowledgeGraphDefId,DataKnwlgGrphEdgeDef,,SobjectType,データナレッジグラフ定義,データナレッジグラフ定義,参照関係(データナレッジグラフ定義),false,false,true,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.SystemModstamp,SystemModstamp,DataKnwlgGrphEdgeDef,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataKnwlgGrphEdgeDef.ToNodeType,ToNodeTypeId,DataKnwlgGrphEdgeDef,,ToNodeType,終了ノード種別,終了ノード種別,参照関係(データナレッジグラフノード定義),false,true,false,true,true,true
000000000000000AAA,DataKnwlgGrphEdgeDef.Version,Version,DataKnwlgGrphEdgeDef,,Version,バージョン,バージョン,数値(9、0),false,false,false,true,true,true
