Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataMultiOrgConnection.ConnectedByUser,ConnectedByUserId,DataMultiOrgConnection,,ConnectedByUser,接続ユーザー,接続ユーザー,参照関係(ユーザー),false,true,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.ConnectedOrg,ConnectedOrg,DataMultiOrgConnection,,ConnectedOrg,接続組織,接続組織,テキスト(20),false,true,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.ConnectedParentOrg,ConnectedParentOrg,DataMultiOrgConnection,,ConnectedParentOrg,接続親組織,接続親組織,テキスト(18),false,true,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.ConnectionStatus,ConnectionStatus,DataMultiOrgConnection,,ConnectionStatus,接続状況,接続状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.CreatedBy,CreatedById,DataMultiOrgConnection,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.CreatedDate,CreatedDate,DataMultiOrgConnection,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataMultiOrgConnection.DeveloperName,DeveloperName,DataMultiOrgConnection,,DeveloperName,名前,名前,テキスト(40),false,false,true,true,true,true
000000000000000AAA,DataMultiOrgConnection.Id,Id,DataMultiOrgConnection,,Id,Data Multi Org Connections ID,Data Multi Org Connections ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataMultiOrgConnection.IsDeleted,IsDeleted,DataMultiOrgConnection,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.IsLineageAwareSbx,IsLineageAwareSbx,DataMultiOrgConnection,,IsLineageAwareSbx,系統対応 Sandbox,系統対応 Sandbox,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.Language,Language,DataMultiOrgConnection,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.LastModifiedBy,LastModifiedById,DataMultiOrgConnection,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.LastModifiedDate,LastModifiedDate,DataMultiOrgConnection,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataMultiOrgConnection.MasterLabel,MasterLabel,DataMultiOrgConnection,,MasterLabel,表示ラベル,表示ラベル,テキスト(40),false,false,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.OrgType,OrgType,DataMultiOrgConnection,,OrgType,Organization Type,Organization Type,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.PartnerAppName,PartnerAppName,DataMultiOrgConnection,,PartnerAppName,パートナーアプリケーション名,パートナーアプリケーション名,テキスト(60),false,true,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.RecordSynStatus,RecordSynStatus,DataMultiOrgConnection,,RecordSynStatus,レコード同期状況,レコード同期状況,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataMultiOrgConnection.SystemModstamp,SystemModstamp,DataMultiOrgConnection,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
000000000000000AAA,DataMultiOrgConnection.TenantKey,TenantKey,DataMultiOrgConnection,,TenantKey,テナントキー,テナントキー,テキスト(255),false,true,false,true,true,true
