Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataMultiOrgObjectRef.CreatedBy,CreatedById,DataMultiOrgObjectRef,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataMultiOrgObjectRef.CreatedDate,CreatedDate,DataMultiOrgObjectRef,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataMultiOrgObjectRef.DataStreamDefinition,DataStreamDefinitionId,DataMultiOrgObjectRef,,DataStreamDefinition,Data Stream Definition,Data Stream Definition,参照関係(データストリーム定義),false,false,true,true,true,true
000000000000000AAA,DataMultiOrgObjectRef.DeveloperName,DeveloperName,DataMultiOrgObjectRef,,DeveloperName,名前,名前,テキスト(40),false,false,true,true,true,true
000000000000000AAA,DataMultiOrgObjectRef.Id,Id,DataMultiOrgObjectRef,,Id,Multi-org Object References ID,Multi-org Object References ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataMultiOrgObjectRef.IsDeleted,IsDeleted,DataMultiOrgObjectRef,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataMultiOrgObjectRef.Language,Language,DataMultiOrgObjectRef,,Language,マスター言語,マスター言語,選択リスト,false,false,false,true,true,true
000000000000000AAA,DataMultiOrgObjectRef.LastModifiedBy,LastModifiedById,DataMultiOrgObjectRef,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataMultiOrgObjectRef.LastModifiedDate,LastModifiedDate,DataMultiOrgObjectRef,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataMultiOrgObjectRef.MasterLabel,MasterLabel,DataMultiOrgObjectRef,,MasterLabel,表示ラベル,表示ラベル,テキスト(40),false,false,false,true,true,true
000000000000000AAA,DataMultiOrgObjectRef.MktDataTransformDefinition,MktDataTransformDefinitionId,DataMultiOrgObjectRef,,MktDataTransformDefinition,Data Transform Definition,Data Transform Definition,参照関係(データ変換定義),false,true,false,true,true,true
000000000000000AAA,DataMultiOrgObjectRef.SystemModstamp,SystemModstamp,DataMultiOrgObjectRef,,SystemModstamp,System Modstamp,System Modstamp,日付/時間,false,false,true,true,false,true
