Id,DurableId,QualifiedApiName,EntityDefinitionId,NamespacePrefix,DeveloperName,MasterLabel,Label,DataType,IsCalculated,IsNillable,IsIndexed,IsApiFilterable,IsApiGroupable,IsApiSortable
000000000000000AAA,DataStreamTemplate.CreatedBy,CreatedById,DataStreamTemplate,,CreatedBy,作成者,作成者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataStreamTemplate.CreatedDate,CreatedDate,DataStreamTemplate,,CreatedDate,作成日,作成日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataStreamTemplate.DataSourceBundleDefinition,DataSourceBundleDefinitionId,DataStreamTemplate,,DataSourceBundleDefinition,データソースバンドル定義,データソースバンドル定義,参照関係(データソースバンドル定義),false,false,true,true,true,true
000000000000000AAA,DataStreamTemplate.DataSourceObject,DataSourceObjectId,DataStreamTemplate,,DataSourceObject,データソースオブジェクト,データソースオブジェクト,参照関係(データソースオブジェクト),false,false,false,true,true,true
000000000000000AAA,DataStreamTemplate.DataStreamDefinition,DataStreamDefinitionId,DataStreamTemplate,,DataStreamDefinition,データストリーム定義,データストリーム定義,参照関係(データストリーム定義),false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.DeveloperName,DeveloperName,DataStreamTemplate,,DeveloperName,名前,名前,テキスト(80),false,false,true,true,true,true
000000000000000AAA,DataStreamTemplate.FilterCriteria,FilterCriteria,DataStreamTemplate,,FilterCriteria,検索条件,検索条件,ロングテキストエリア(32000),false,true,false,false,false,false
000000000000000AAA,DataStreamTemplate.FullName,FullName,DataStreamTemplate,,FullName,データソーステンプレートの完全名,データソーステンプレートの完全名,テキスト(255),false,true,false,false,true,false
000000000000000AAA,DataStreamTemplate.FullRefreshIntervalDays,FullRefreshIntervalDays,DataStreamTemplate,,FullRefreshIntervalDays,次回のフル更新までの日数,次回のフル更新までの日数,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.Id,Id,DataStreamTemplate,,Id,データストリームテンプレート ID,データストリームテンプレート ID,参照関係(),false,false,true,true,true,true
000000000000000AAA,DataStreamTemplate.IsDeleted,IsDeleted,DataStreamTemplate,,IsDeleted,削除,削除,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataStreamTemplate.IsRefreshDeliveryHourAutomatic,IsRefreshDeliveryHourAutomatic,DataStreamTemplate,,IsRefreshDeliveryHourAutomatic,配信時間の更新を自動化,配信時間の更新を自動化,チェックボックス,false,false,false,true,true,true
000000000000000AAA,DataStreamTemplate.Language,Language,DataStreamTemplate,,Language,マスター言語,マスター言語,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.LastModifiedBy,LastModifiedById,DataStreamTemplate,,LastModifiedBy,最終更新者,最終更新者,参照関係(ユーザー),false,false,false,true,true,true
000000000000000AAA,DataStreamTemplate.LastModifiedDate,LastModifiedDate,DataStreamTemplate,,LastModifiedDate,最終更新日,最終更新日,日付/時間,false,false,false,true,false,true
000000000000000AAA,DataStreamTemplate.ManageableState,ManageableState,DataStreamTemplate,,ManageableState,管理可能な状態,管理可能な状態,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.MasterLabel,MasterLabel,DataStreamTemplate,,MasterLabel,表示ラベル,表示ラベル,テキスト(80),false,false,false,true,true,true
000000000000000AAA,DataStreamTemplate.Metadata,Metadata,DataStreamTemplate,,Metadata,メタデータ,メタデータ,複合値,false,true,false,false,false,false
000000000000000AAA,DataStreamTemplate.NamespacePrefix,NamespacePrefix,DataStreamTemplate,,NamespacePrefix,名前空間プレフィックス,名前空間プレフィックス,テキスト,false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.ObjectCategory,ObjectCategoryId,DataStreamTemplate,,ObjectCategory,データオブジェクトカテゴリ,データオブジェクトカテゴリ,参照関係(データオブジェクトカテゴリ),false,false,false,true,true,true
000000000000000AAA,DataStreamTemplate.RefreshDayOfMonth,RefreshDayOfMonth,DataStreamTemplate,,RefreshDayOfMonth,月の日を更新,月の日を更新,数値(9、0),false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.RefreshDayOfWeek,RefreshDayOfWeek,DataStreamTemplate,,RefreshDayOfWeek,曜日を更新,曜日を更新,数値(9、0),false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.RefreshFrequency,RefreshFrequency,DataStreamTemplate,,RefreshFrequency,更新頻度,更新頻度,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.RefreshHours,RefreshHours,DataStreamTemplate,,RefreshHours,データを取り込む頻度 (時間),データを取り込む頻度 (時間),選択リスト (複数選択),false,true,false,true,false,false
000000000000000AAA,DataStreamTemplate.RefreshMode,RefreshMode,DataStreamTemplate,,RefreshMode,データ接続のデータを更新する方法,データ接続のデータを更新する方法,選択リスト,false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.RefreshStartDate,RefreshStartDate,DataStreamTemplate,,RefreshStartDate,開始日を更新,開始日を更新,日付,false,true,false,true,true,true
000000000000000AAA,DataStreamTemplate.SourceObjectName,SourceObjectName,DataStreamTemplate,,SourceObjectName,ソースオブジェクト名,ソースオブジェクト名,テキスト(255),false,true,false,true,true,true
